Product name,Original Price,Discount,Price After Discount,Ratings
"Google Pixel 7a (Snow, 128 GB)  (8 GB RAM)",N/A,29% off,N/A,4.1
"Google Pixel 7a (Charcoal, 128 GB)  (8 GB RAM)","₹43,999",29% off,"₹30,999",4.1
"Google Pixel 7a (Coral, 128 GB)  (8 GB RAM)",N/A,29% off,N/A,4.1
"Google Pixel 9 (Wintergreen, 256 GB)  (12 GB RAM)",N/A,10% off,"₹79,999",4.6
"Google Pixel 9 Pro (Obsidian, 256 GB)  (16 GB RAM)",N/A,N/A,N/A,4.6
"Google Pixel 9 (Obsidian, 256 GB)  (12 GB RAM)",N/A,10% off,N/A,4.6
"Google Pixel 7 (Obsidian, 128 GB)  (8 GB RAM)","₹59,999",43% off,"₹33,999",4.3
"Google Pixel 8 (Mint, 128 GB)  (8 GB RAM)","₹75,999",43% off,"₹42,999",4.4
"Google Pixel 9 Pro (Porcelain, 256 GB)  (16 GB RAM)",N/A,N/A,"₹1,09,999",4.6
"Google Pixel 8 (Hazel, 256 GB)  (8 GB RAM)",N/A,42% off,N/A,4.4
"Google Pixel 8 (Hazel, 128 GB)  (8 GB RAM)",N/A,43% off,N/A,4.4
"Google Pixel 9 Pro (Hazel, 256 GB)  (16 GB RAM)",N/A,N/A,"₹1,09,999",4.6
"Google Pixel 9 (Porcelain, 256 GB)  (12 GB RAM)",N/A,10% off,"₹79,999",4.6
"Google Pixel 7 (Lemongrass, 128 GB)  (8 GB RAM)",N/A,43% off,N/A,4.3
"Google Pixel 7 (Snow, 128 GB)  (8 GB RAM)","₹59,999",43% off,"₹33,999",4.3
"Google Pixel 8a (Bay, 128 GB)  (8 GB RAM)","₹52,999",16% off,"₹43,999",4.2
"Google Pixel 9 Pro XL (Porcelain, 256 GB)  (16 GB RAM)",N/A,10% off,"₹1,24,999",4.6
"Google Pixel 8 (Rose, 128 GB)  (8 GB RAM)",N/A,43% off,N/A,4.4
"Google Pixel 8a (Porcelain, 128 GB)  (8 GB RAM)",N/A,16% off,N/A,4.2
"Google Pixel 9 Pro XL (Obsidian, 256 GB)  (16 GB RAM)",N/A,10% off,"₹1,24,999",4.6
"Google Pixel 9 Pro (Rose Quartz, 256 GB)  (16 GB RAM)",N/A,N/A,"₹1,09,999",4.6
"Google Pixel 9 (Peony, 256 GB)  (12 GB RAM)",N/A,10% off,N/A,4.6
"Google Pixel 9 Pro XL (Obsidian, 512 GB)  (16 GB RAM)",N/A,10% off,"₹1,39,999",4.6
"Google Pixel 9 Pro XL (Rose Quartz, 256 GB)  (16 GB RAM)",N/A,N/A,"₹1,24,999",4.6
"Google Pixel 7a (Snow, 128 GB)  (8 GB RAM)","₹43,999",29% off,"₹30,999",4.1
"Google Pixel 7a (Charcoal, 128 GB)  (8 GB RAM)",N/A,29% off,N/A,4.1
"Google Pixel 7a (Coral, 128 GB)  (8 GB RAM)","₹43,999",29% off,"₹30,999",4.1
"Google Pixel 9 (Wintergreen, 256 GB)  (12 GB RAM)",N/A,10% off,"₹79,999",4.6
