Product Name,Original Price,Discount,Price After Discount,Ratings
Little Joys Nutrimix for Kids 2-6 years | Chocolate Flavour| Better Immunity & Strength  (350 g),₹649,5% off,₹616,4.4
Little Joys Nutrimix for Kids 7-12 years |Chocolate Flavour| Supports Weight & Height Gain  (350 g),₹699,7% off,₹645,4.4
Lite Horlicks Regular Malt Flavour  (450 g),₹349,20% off,₹279,4.5
Bournvita Chocolate Nutrition Drink  (2 kg),₹875,34% off,₹577,4.4
Horlicks Women's Plus Caramel Jar  (400 g),₹355,23% off,₹273,4.4
Protinex Rich Chocolate- Nutrition Drink Powder with Protein for Strength & Energy  (750 g),"₹1,235",38% off,₹765,4.4
HORLICKS Nutrition Drink Plastic Container  (1000 g),₹600,30% off,₹420,4.4
"ENSURE Diabetes Care Specialized Nutritional Drink, Vanilla  (950 g)","₹2,120",20% off,"₹1,696",4.5
"Little Joys Nutrimix Lite for Kids 2-6 year, Improves Gut Health, Chocolate Flavour  (350 g)",N/A,N/A,₹549,4.4
Horlicks Mother's Plus Kesar Flavour  (400 g),₹595,22% off,₹464,4.4
Protinex Creamy Vanilla Nutrition Drink Powder with Protein for Strength & Energy  (750 g),"₹1,295",38% off,₹802,4.4
"Herbalife Nutrition Nutrition Energy Drink  (50 g, Elaichi Flavored)",₹848,41% off,₹498,3.5
Protinex Rich Chocolate - Nutrition Drink Powder with Protein for Strength& Energy  (1 kg),"₹1,455",28% off,"₹1,047",4.4
"COMPLAN Nutrition Drink Powder for Children, Royale Chocolate Flavour Jar  (500 g)",₹319,15% off,₹271,4.4
"COMPLAN Nutrition Drink Powder for Children, Kesar Badam Flavour, Carton  (500 g)",₹350,16% off,₹294,4.5
Bournvita Chocolate Nutrition Drink  (550 g),₹255,5% off,₹242,4.4
"HERBALIFE New Lemon Afresh Energy Drink  (50 g, Lemon Flavored)",₹885,32% off,₹598,4.2
"HERBALIFE New Kashmiri Kahwa Afresh Energy Drink  (50 g, Kashmiri Kahwa Flavored)",₹885,32% off,₹599,3.6
"ENSURE Clinically Proven Nutritional Drink For Adults Nutrition Drink  (950 g, Vanilla Flavored)","₹1,685",20% off,"₹1,348",4.5
Saapattu Raman - Digestive Secret - 622 g - Apple cider Drink  (622 g),"₹1,099",13% off,₹955,4
"Herbalife Nutrition 1522 Energy Drink  (0.5 g, Ginger Flavored)",₹848,41% off,₹498,3.7
"vidaslim High Protein Meal Replacement for Weight Management-400g Jar (Vanilla) Nutrition Drink  (400 g, Vanilla Flavored)","₹1,445",17% off,"₹1,199",4.3
"COMPLAN Nutrition Drink Powder for Children Royale Chocolate Flavour, Jar  (1.5 kg)","₹1,169",44% off,₹648,4.4
"COMPLAN Nutrition Drink Powder for Children, Royale Chocolate Flavour, Carton  (500 g)",₹319,17% off,₹264,4.4
Pediasure Scientifically Designed Nutritional Drink - Vanilla  (1.9 kg),"₹3,215",20% off,"₹2,572",4.5
HORLICKS Classic Malt  (750 g),₹449,27% off,₹327,4.4
Nutritional Choice Coffee White - creamer Creamy Coffee - 50 sachets  (750 g),"₹2,997",9% off,"₹2,725",3.5
"Floral Nutrition Slim Shake Formula 1 with Natural Herbs for weight control & Management Nutrition Drink  (500 g, Chocolate Flavored)","₹1,499",65% off,₹519,3.9
COMPLAN Nutrition Drink Powder for Children Royale Chocolate Flavour Carton  (1 kg),₹629,17% off,₹516,4.4
ENSURE Diabetes Care Specialized Nutritional Drink Vanilla  (375 g),₹925,15% off,₹786,4.5
"PII ELECTROLYTE ORS Powder 4.2G Box Hydration Drink  (8x10 Sachets, ORANGE Flavored)",₹388,2% off,₹379,4.3
AptaGrow Nutritious & Tasty Milk Drink Powder for Kids Vanilla  (400 g),₹625,20% off,₹500,4.3
"Protinex Rich Chocolate- Nutrition Drink Powder with Protein for Strength, Energy  (400 g)",₹675,16% off,₹567,4.4
"COMPLAN Nutrition Drink Powder for Children, Royale Chocolate Flavour, Jar  (1 kg)",₹619,10% off,₹557,4.4
HORLICKS Nutrition Drink Plastic Container  (2000 g),"₹1,150",35% off,₹747,4.4
"ENSURE Clinically Proven Nutritional Drink For Adults, Vanilla  (200 g)",₹440,15% off,₹374,4.5
"MUSCLE ELITE FITNESS X1 Pre Workout Supplement to Boost Your Energy Increased Endurance Orange Energy Drink  (255 g, Orange Flavored)","₹2,499",65% off,₹854,4.6
"Pediasure Scientifically Designed Nutritional Drink, Chocolate  (1900 g)","₹3,215",20% off,"₹2,572",4.5
"Pediasure Scientifically Designed, Clinically Proven Nutrition Drink  (950 g, Vanilla Flavored)","₹1,785",20% off,"₹1,428",4.5
Saapattu Raman -Digestive secret (312g) - Apple Cider Drink  (312 g),₹599,8% off,₹549,4.1
Little Joys Nutrimix for Kids 2-6 years | Chocolate Flavour| Better Immunity & Strength  (350 g),₹649,5% off,₹616,4.4
Little Joys Nutrimix for Kids 7-12 years |Chocolate Flavour| Supports Weight & Height Gain  (350 g),₹699,7% off,₹645,4.4
Lite Horlicks Regular Malt Flavour  (450 g),₹349,20% off,₹279,4.5
Bournvita Chocolate Nutrition Drink  (2 kg),₹875,34% off,₹577,4.4
Horlicks Women's Plus Caramel Jar  (400 g),₹355,23% off,₹273,4.4
Protinex Rich Chocolate- Nutrition Drink Powder with Protein for Strength & Energy  (750 g),"₹1,235",38% off,₹765,4.4
HORLICKS Nutrition Drink Plastic Container  (1000 g),₹600,30% off,₹420,4.4
"ENSURE Diabetes Care Specialized Nutritional Drink, Vanilla  (950 g)","₹2,120",20% off,"₹1,696",4.5
"Little Joys Nutrimix Lite for Kids 2-6 year, Improves Gut Health, Chocolate Flavour  (350 g)",N/A,N/A,₹549,4.4
Horlicks Mother's Plus Kesar Flavour  (400 g),₹595,22% off,₹464,4.4
Protinex Creamy Vanilla Nutrition Drink Powder with Protein for Strength & Energy  (750 g),"₹1,295",38% off,₹802,4.4
"Herbalife Nutrition Nutrition Energy Drink  (50 g, Elaichi Flavored)",₹848,41% off,₹498,3.5
Protinex Rich Chocolate - Nutrition Drink Powder with Protein for Strength& Energy  (1 kg),"₹1,455",28% off,"₹1,047",4.4
"COMPLAN Nutrition Drink Powder for Children, Royale Chocolate Flavour Jar  (500 g)",₹319,15% off,₹271,4.4
"COMPLAN Nutrition Drink Powder for Children, Kesar Badam Flavour, Carton  (500 g)",₹350,16% off,₹294,4.5
Bournvita Chocolate Nutrition Drink  (550 g),₹255,5% off,₹242,4.4
"HERBALIFE New Lemon Afresh Energy Drink  (50 g, Lemon Flavored)",₹885,32% off,₹598,4.2
"HERBALIFE New Kashmiri Kahwa Afresh Energy Drink  (50 g, Kashmiri Kahwa Flavored)",₹885,32% off,₹599,3.6
"ENSURE Clinically Proven Nutritional Drink For Adults Nutrition Drink  (950 g, Vanilla Flavored)","₹1,685",20% off,"₹1,348",4.5
Saapattu Raman - Digestive Secret - 622 g - Apple cider Drink  (622 g),"₹1,099",13% off,₹955,4
"Herbalife Nutrition 1522 Energy Drink  (0.5 g, Ginger Flavored)",₹848,41% off,₹498,3.7
"vidaslim High Protein Meal Replacement for Weight Management-400g Jar (Vanilla) Nutrition Drink  (400 g, Vanilla Flavored)","₹1,445",17% off,"₹1,199",4.3
"COMPLAN Nutrition Drink Powder for Children Royale Chocolate Flavour, Jar  (1.5 kg)","₹1,169",44% off,₹648,4.4
"COMPLAN Nutrition Drink Powder for Children, Royale Chocolate Flavour, Carton  (500 g)",₹319,17% off,₹264,4.4
Pediasure Scientifically Designed Nutritional Drink - Vanilla  (1.9 kg),"₹3,215",20% off,"₹2,572",4.5
HORLICKS Classic Malt  (750 g),₹449,27% off,₹327,4.4
Nutritional Choice Coffee White - creamer Creamy Coffee - 50 sachets  (750 g),"₹2,997",9% off,"₹2,725",3.5
"Floral Nutrition Slim Shake Formula 1 with Natural Herbs for weight control & Management Nutrition Drink  (500 g, Chocolate Flavored)","₹1,499",65% off,₹519,3.9
COMPLAN Nutrition Drink Powder for Children Royale Chocolate Flavour Carton  (1 kg),₹629,17% off,₹516,4.4
ENSURE Diabetes Care Specialized Nutritional Drink Vanilla  (375 g),₹925,15% off,₹786,4.5
AptaGrow Nutritious & Tasty Milk Drink Powder for Kids Vanilla  (400 g),₹625,20% off,₹500,4.3
"PII ELECTROLYTE ORS Powder 4.2G Box Hydration Drink  (8x10 Sachets, ORANGE Flavored)",₹388,2% off,₹379,4.3
"Protinex Rich Chocolate- Nutrition Drink Powder with Protein for Strength, Energy  (400 g)",₹675,16% off,₹567,4.4
"COMPLAN Nutrition Drink Powder for Children, Royale Chocolate Flavour, Jar  (1 kg)",₹619,10% off,₹557,4.4
HORLICKS Nutrition Drink Plastic Container  (2000 g),"₹1,150",35% off,₹747,4.4
"ENSURE Clinically Proven Nutritional Drink For Adults, Vanilla  (200 g)",₹440,15% off,₹374,4.5
AptaGrow Nutritious & Tasty Milk Drink Powder for Kids- Vanilla  (2 x 400 g),"₹1,250",24% off,₹938,4.4
"Floral Nutrition Slim Shake Formula 1 with Natural Herbs for weight control & Management Nutrition Drink  (500 g, Strawberry Flavored)","₹1,499",65% off,₹519,3.9
"Pediasure Scientifically Designed Nutritional Drink, Chocolate  (1900 g)","₹3,215",20% off,"₹2,572",4.5
"Pediasure Scientifically Designed, Clinically Proven Nutrition Drink  (950 g, Vanilla Flavored)","₹1,785",20% off,"₹1,428",4.5
