Product name,Original Price,Discount,Price After Discount,Ratings
"Infinix Note 40X 5G (Starlit Black, 256 GB)  (12 GB RAM)",N/A,34% off,N/A,4.3
"Infinix Note 40X 5G (Lime Green, 256 GB)  (12 GB RAM)","₹21,999",34% off,"₹14,499",4.3
"Infinix Smart 8 Plus (Galaxy White, 128 GB)  (4 GB RAM)","₹9,999",22% off,"₹7,799",4.3
"Infinix GT 20 Pro (Mecha Orange, 256 GB)  (8 GB RAM)","₹31,999",28% off,"₹22,999",4.3
"Infinix GT 20 Pro (Mecha Blue, 256 GB)  (12 GB RAM)",N/A,28% off,N/A,4.3
"Infinix Note 40 Pro 5G (Vintage Green, 256 GB)  (8 GB RAM)",N/A,32% off,N/A,4.2
"Infinix Note 40X 5G (Palm Blue, 256 GB)  (12 GB RAM)",N/A,34% off,N/A,4.3
"Infinix GT 20 Pro (Mecha Orange, 256 GB)  (12 GB RAM)",N/A,28% off,N/A,4.3
"Infinix GT 20 Pro (Mecha Silver, 256 GB)  (12 GB RAM)",N/A,28% off,N/A,4.3
"Infinix SMART 8 HD (Crystal Green, 64 GB)  (3 GB RAM)","₹7,999",16% off,"₹6,699",4.3
"Infinix Smart 8 Plus (Shiny Gold, 128 GB)  (4 GB RAM)","₹9,999",22% off,"₹7,799",4.3
"Infinix Smart 8 Plus (Timber Black, 128 GB)  (4 GB RAM)",N/A,22% off,N/A,4.3
"Infinix GT 20 Pro (Mecha Silver, 256 GB)  (8 GB RAM)","₹31,999",28% off,"₹22,999",4.3
"Infinix GT 20 Pro (Mecha Blue, 256 GB)  (8 GB RAM)","₹31,999",28% off,"₹22,999",4.3
"Infinix SMART 8 HD (Galaxy White, 64 GB)  (3 GB RAM)",N/A,16% off,N/A,4.3
"Infinix SMART 8 HD (Timber Black, 64 GB)  (3 GB RAM)",N/A,16% off,N/A,4.3
"Infinix SMART 8 HD (Shiny Gold, 64 GB)  (3 GB RAM)",N/A,16% off,N/A,4.3
"Infinix SMART 8 (Timber Black, 128 GB)  (8 GB RAM)",N/A,18% off,N/A,4.3
"Infinix SMART 8 (Rainbow Blue, 128 GB)  (8 GB RAM)",N/A,18% off,N/A,4.3
"Infinix SMART 8 (Rainbow Blue, 64 GB)  (4 GB RAM)",N/A,18% off,N/A,4.3
"Infinix SMART 8 (Timber Black, 64 GB)  (4 GB RAM)","₹8,999",18% off,"₹7,299",4.3
"Infinix SMART 8 (Shiny Gold, 64 GB)  (4 GB RAM)",N/A,18% off,N/A,4.3
"Infinix SMART 8 (Galaxy White, 64 GB)  (4 GB RAM)","₹8,999",18% off,"₹7,299",4.3
"Infinix Hot 50 5G (Vibrant Blue, 128 GB)  (8 GB RAM)","₹14,999",26% off,"₹10,999",4.4
"Infinix Note 40X 5G (Starlit Black, 256 GB)  (12 GB RAM)","₹21,999",34% off,"₹14,499",4.3
"Infinix Note 40X 5G (Lime Green, 256 GB)  (12 GB RAM)","₹21,999",34% off,"₹14,499",4.3
"Infinix Smart 8 Plus (Galaxy White, 128 GB)  (4 GB RAM)",N/A,22% off,N/A,4.3
"Infinix GT 20 Pro (Mecha Blue, 256 GB)  (12 GB RAM)","₹34,999",28% off,"₹24,999",4.3
"Infinix GT 20 Pro (Mecha Orange, 256 GB)  (8 GB RAM)","₹31,999",28% off,"₹22,999",4.3
"Infinix Note 40X 5G (Palm Blue, 256 GB)  (12 GB RAM)",N/A,34% off,N/A,4.3
"Infinix Note 40 Pro 5G (Vintage Green, 256 GB)  (8 GB RAM)","₹27,999",32% off,"₹18,999",4.2
"Infinix GT 20 Pro (Mecha Orange, 256 GB)  (12 GB RAM)","₹34,999",28% off,"₹24,999",4.3
"Infinix GT 20 Pro (Mecha Silver, 256 GB)  (12 GB RAM)",N/A,28% off,N/A,4.3
"Infinix SMART 8 HD (Galaxy White, 64 GB)  (3 GB RAM)","₹7,999",16% off,"₹6,699",4.3
"Infinix SMART 8 HD (Timber Black, 64 GB)  (3 GB RAM)","₹7,999",16% off,"₹6,699",4.3
"Infinix SMART 8 HD (Shiny Gold, 64 GB)  (3 GB RAM)",N/A,16% off,N/A,4.3
"Infinix SMART 8 HD (Crystal Green, 64 GB)  (3 GB RAM)",N/A,16% off,N/A,4.3
"Infinix GT 20 Pro (Mecha Silver, 256 GB)  (8 GB RAM)",N/A,28% off,N/A,4.3
"Infinix GT 20 Pro (Mecha Blue, 256 GB)  (8 GB RAM)","₹31,999",28% off,"₹22,999",4.3
"Infinix Smart 8 Plus (Shiny Gold, 128 GB)  (4 GB RAM)",N/A,22% off,N/A,4.3
"Infinix Smart 8 Plus (Timber Black, 128 GB)  (4 GB RAM)","₹9,999",22% off,"₹7,799",4.3
"Infinix SMART 8 (Timber Black, 128 GB)  (8 GB RAM)",N/A,18% off,N/A,4.3
"Infinix SMART 8 (Rainbow Blue, 128 GB)  (8 GB RAM)","₹10,999",18% off,"₹8,999",4.3
"Infinix SMART 8 (Rainbow Blue, 64 GB)  (4 GB RAM)","₹8,999",18% off,"₹7,299",4.3
"Infinix SMART 8 (Timber Black, 64 GB)  (4 GB RAM)","₹8,999",18% off,"₹7,299",4.3
"Infinix SMART 8 (Shiny Gold, 64 GB)  (4 GB RAM)","₹8,999",18% off,"₹7,299",4.3
"Infinix SMART 8 (Galaxy White, 64 GB)  (4 GB RAM)",N/A,18% off,N/A,4.3
"Infinix Hot 50 5G (Sleek Black, 128 GB)  (8 GB RAM)",N/A,26% off,N/A,4.4
"Infinix Hot 50 5G (Sleek Black, 128 GB)  (8 GB RAM)",N/A,26% off,N/A,4.4
"Infinix HOT 40i (Horizon Gold, 256 GB)  (8 GB RAM)",N/A,9% off,N/A,4.1
"Infinix Note 40X 5G (Starlit Black, 256 GB)  (8 GB RAM)",N/A,30% off,N/A,4.2
"Infinix Note 40X 5G (Palm Blue, 256 GB)  (8 GB RAM)","₹19,999",30% off,"₹13,999",4.2
"Infinix Hot 50 5G (Sage Green, 128 GB)  (4 GB RAM)","₹12,999",23% off,"₹9,999",4.3
"Infinix Hot 50 5G (Sleek Black, 128 GB)  (4 GB RAM)","₹12,999",23% off,"₹9,999",4.3
"Infinix Hot 50 5G (Sage Green, 128 GB)  (8 GB RAM)","₹14,999",26% off,"₹10,999",4.4
"Infinix Note 40 Pro 5G (Racing Grey, 256 GB)  (8 GB RAM)","₹27,999",32% off,"₹18,999",4.2
"Infinix SMART 8 (Shiny Gold, 128 GB)  (8 GB RAM)","₹10,999",18% off,"₹8,999",4.3
"Infinix Note 40 Pro 5G (Gold, 256 GB)  (8 GB RAM)",N/A,32% off,N/A,4.2
"Infinix Note 40 Pro+ 5G (Obsidian Black, 256 GB)  (12 GB RAM)","₹32,999",33% off,"₹21,999",4.2
"Infinix HOT 40i (Starfall Green, 256 GB)  (8 GB RAM)","₹10,999",9% off,"₹9,999",4.1
"Infinix HOT 40i (Starlit Black, 256 GB)  (8 GB RAM)","₹10,999",9% off,"₹9,999",4.1
"Infinix Note 40 Pro 5G (Obsidian Black, 256 GB)  (8 GB RAM)","₹27,999",32% off,"₹18,999",4.2
"Infinix Hot 50 5G (Vibrant Blue, 128 GB)  (4 GB RAM)","₹12,999",23% off,"₹9,999",4.3
"Infinix Note 40 5G (Obsidian Black, 256 GB)  (8 GB RAM)",N/A,36% off,N/A,4.1
"Infinix Note 40 Pro+ 5G (Vintage Green, 256 GB)  (12 GB RAM)","₹32,999",33% off,"₹21,999",4.2
"Infinix HOT 40i (Palm Blue, 256 GB)  (8 GB RAM)","₹10,999",9% off,"₹9,999",4.1
"Infinix Note 40 Pro+ 5G (Racing Grey, 256 GB)  (12 GB RAM)","₹32,999",33% off,"₹21,999",4.2
"Infinix Zero Flip 5G (Blossom Glow, 512 GB)  (8 GB RAM)",N/A,37% off,N/A,4.6
"Infinix Zero 40 5G (Moving Titanium, 256 GB)  (12 GB RAM)",N/A,26% off,N/A,4.2
"Infinix Zero 40 5G (Rock Black, 256 GB)  (12 GB RAM)",N/A,26% off,N/A,4.2
"Infinix Zero 40 5G (Violet Garden, 512 GB)  (12 GB RAM)","₹41,999",26% off,"₹30,999",4.2
"Infinix Zero 40 5G (Violet Garden, 256 GB)  (12 GB RAM)","₹37,999",26% off,"₹27,999",4.2
"Infinix HOT 30i (Diamond White, 128 GB)  (8 GB RAM)","₹11,999",20% off,"₹9,499",4.3
"Infinix HOT 30i (Mirror Black, 128 GB)  (8 GB RAM)","₹11,999",20% off,"₹9,499",4.3
"Infinix HOT 30i (Glacier Blue, 128 GB)  (8 GB RAM)",N/A,10% off,"₹11,999",4.3
"Infinix HOT 30i (Mirror Black, 64 GB)  (4 GB RAM)","₹9,999",16% off,"₹8,399",4.2
"Infinix HOT 30i (Diamond White, 64 GB)  (4 GB RAM)",N/A,16% off,N/A,4.2
"Infinix HOT 30i (Marigold, 64 GB)  (4 GB RAM)","₹9,999",16% off,"₹8,399",4.2
"Infinix HOT 30i (Glacier Blue, 64 GB)  (4 GB RAM)",N/A,16% off,N/A,4.2
"Infinix Zero 30 5G (Golden Hour, 256 GB)  (12 GB RAM)","₹29,999",16% off,"₹24,999",4.2
"Infinix Note 40 5G (Titan Gold, 256 GB)  (8 GB RAM)","₹24,999",36% off,"₹15,999",4.1
"Infinix HOT 30 5G (Knight Black, 128 GB)  (4 GB RAM)","₹14,999",16% off,"₹12,499",4.2
"Infinix Zero 30 5G (Rome Green, 256 GB)  (12 GB RAM)","₹29,999",16% off,"₹24,999",4.2
"Infinix Zero 30 5G (Golden Hour, 256 GB)  (8 GB RAM)",N/A,14% off,N/A,4.2
"Infinix HOT 30i (Marigold, 128 GB)  (8 GB RAM)","₹11,999",20% off,"₹9,499",4.3
"Infinix Note 12 (Jewel Blue, 128 GB)  (6 GB RAM)",N/A,27% off,N/A,4.2
"Infinix HOT 12 Play (Horizon Blue, 64 GB)  (4 GB RAM)",N/A,10% off,N/A,4.3
"Infinix HOT 12 Play (Racing Black, 64 GB)  (4 GB RAM)",N/A,10% off,"₹11,999",4.3
"Infinix Note 12 (Force Black, 128 GB)  (6 GB RAM)","₹17,999",27% off,"₹12,999",4.2
"Infinix Note 12 (Force Black, 64 GB)  (4 GB RAM)",N/A,10% off,"₹15,999",4.2
"Infinix Note 11 (Graphite Black, 64 GB)  (4 GB RAM)","₹14,999",16% off,"₹12,499",4.3
"Infinix Note 12 (Jewel Blue, 64 GB)  (4 GB RAM)",N/A,25% off,N/A,4.2
"Infinix Note 11 (Celestial Snow, 64 GB)  (4 GB RAM)",N/A,16% off,N/A,4.3
"Infinix Note 11 (Celestial Snow, 128 GB)  (6 GB RAM)","₹16,999",14% off,"₹14,499",4.2
"Infinix Hot 11 (Silver Wave, 64 GB)  (4 GB RAM)","₹11,999",16% off,"₹9,999",4.3
"Infinix HOT 12 Play (Daylight Green, 64 GB)  (4 GB RAM)",N/A,10% off,"₹11,999",4.3
"Infinix Note 11 (Glacier Green, 64 GB)  (4 GB RAM)","₹14,999",16% off,"₹12,499",4.3
"Infinix Note 11 (Graphite Black, 128 GB)  (6 GB RAM)","₹16,999",14% off,"₹14,499",4.2
"Infinix Hot 12 Pro (Halo White, 64 GB)  (6 GB RAM)","₹13,999",21% off,"₹10,999",4.2
"Infinix Hot 12 Pro (Electric Blue, 128 GB)  (8 GB RAM)",N/A,18% off,N/A,4
"Infinix Hot 12 Pro (Lightsaber Green, 128 GB)  (8 GB RAM)","₹15,999",18% off,"₹12,999",4
"Infinix Hot 12 Pro (Lightsaber Green, 64 GB)  (6 GB RAM)",N/A,10% off,"₹13,999",4.2
"Infinix Hot 12 Pro (Electric Blue, 64 GB)  (6 GB RAM)",N/A,21% off,N/A,4.2
"Infinix Hot 12 Pro (Racing Black, 64 GB)  (6 GB RAM)","₹13,999",21% off,"₹10,999",4.2
"Infinix Hot 12 Pro (Racing Black, 128 GB)  (8 GB RAM)",N/A,10% off,"₹15,999",4
"Infinix Hot 11S (Polar Black, 128 GB)  (4 GB RAM)",N/A,10% off,"₹14,999",4.3
"Infinix Zero 40 5G (Rock Black, 512 GB)  (12 GB RAM)","₹41,999",26% off,"₹30,999",4.2
"Infinix Note 30 5G (Magic Black, 128 GB)  (4 GB RAM)",N/A,16% off,N/A,4.2
"Infinix Zero 20 (Green Fantasy, 128 GB)  (8 GB RAM)","₹24,999",28% off,"₹17,999",4.1
"Infinix Hot 11S (Green Wave, 64 GB)  (4 GB RAM)","₹13,999",21% off,"₹10,999",4.3
"Infinix Hot 11S (7° Purple, 64 GB)  (4 GB RAM)","₹13,999",21% off,"₹10,999",4.3
"Infinix Hot 11S (Polar Black, 64 GB)  (4 GB RAM)",N/A,21% off,N/A,4.3
"Infinix Zero 20 (Glitter Gold, 128 GB)  (8 GB RAM)","₹24,999",28% off,"₹17,999",4.1
"Infinix Note 30 5G (Magic Black, 256 GB)  (8 GB RAM)",N/A,20% off,N/A,4.2
"Infinix Smart 6 Plus (Miracle Black, 64 GB)  (3 GB RAM)","₹9,999",17% off,"₹8,299",4.3
"Infinix HOT 20 5G (Racing Black, 64 GB)  (4 GB RAM)",N/A,26% off,N/A,4.1
"Infinix Smart 4 (Quetzal Cyan, 32 GB)  (2 GB RAM)",N/A,60% off,N/A,4.4
"Infinix HOT 20 5G (Blaster Green, 64 GB)  (4 GB RAM)","₹17,999",26% off,"₹13,208",4.1
"Infinix Smart 4 Plus (Midnight Black, 32 GB)  (3 GB RAM)",N/A,60% off,"₹9,999",4.4
"Infinix Smart 4 Plus (Ocean Wave, 32 GB)  (3 GB RAM)",N/A,60% off,N/A,4.4
"Infinix Smart 4 Plus (Violet, 32 GB)  (3 GB RAM)",N/A,60% off,"₹9,999",4.4
"Infinix NOTE 12i (Force Black, 64 GB)  (4 GB RAM)",N/A,15% off,N/A,4.2
"Infinix Zero 30 5G (Rome Green, 256 GB)  (8 GB RAM)","₹27,999",14% off,"₹23,999",4.2
"Infinix Hot 9 Pro (Quetzal Cyan, 64 GB)  (4 GB RAM)",N/A,50% off,N/A,4.4
"Infinix NOTE 12i (Alpine White, 64 GB)  (4 GB RAM)","₹12,999",15% off,"₹10,999",4.2
"Infinix Hot 10S (95° Black, 64 GB)  (4 GB RAM)","₹12,999",23% off,"₹9,999",4.3
"Infinix Smart 6 (Heart Of Ocean, 64 GB)  (2 GB RAM)",N/A,16% off,N/A,4.3
"Infinix Smart 6 (Light Sea Green, 64 GB)  (2 GB RAM)",N/A,60% off,"₹8,999",4.3
"Infinix Zero 5G (Skylight Orange, 128 GB)  (8 GB RAM)",N/A,20% off,N/A,4.2
"Infinix Zero 5G 2023 TURBO (Pearly White, 256 GB)  (8 GB RAM)",N/A,20% off,N/A,4.1
"Infinix Hot 20 5G (Blaster Green, 128 GB)  (6 GB RAM)",N/A,23% off,N/A,4.1
"Infinix Smart 5A (Midnight Black, 32 GB)  (2 GB RAM)","₹7,999",10% off,"₹7,199",4.4
"Infinix Hot 9 Pro (Violet, 64 GB)  (4 GB RAM)","₹10,999",9% off,"₹9,990",4.4
"Infinix Hot 11 2022 (Polar Black, 64 GB)  (4 GB RAM)",N/A,50% off,"₹12,999",4.2
"Infinix Hot 10 Play (Morandi Green, 32 GB)  (3 GB RAM)","₹9,999",17% off,"₹8,299",4.3
"Infinix S5 Pro (Forest Green, 64 GB)  (4 GB RAM)","₹11,999",8% off,"₹10,990",4.4
"Infinix Note 10 (7° Purple, 64 GB)  (4 GB RAM)","₹13,999",21% off,"₹10,999",4.2
"Infinix S5 (Quetzal Cyan, 64 GB)  (4 GB RAM)",N/A,57% off,"₹10,999",4.3
"Infinix HOT 20 Play (Luna Blue, 64 GB)  (4 GB RAM)","₹11,999",25% off,"₹8,999",4.4
"Infinix HOT 20 Play (Fantasy Purple, 64 GB)  (4 GB RAM)",N/A,25% off,N/A,4.4
"Infinix HOT 20 Play (Racing Black, 64 GB)  (4 GB RAM)","₹11,999",25% off,"₹8,999",4.4
"Infinix HOT 20 Play (Aurora Green, 64 GB)  (4 GB RAM)",N/A,25% off,N/A,4.4
"Infinix NOTE 12i (Metaverse Blue, 64 GB)  (4 GB RAM)","₹12,999",15% off,"₹10,999",4.2
"Infinix Hot 10 Play (7° Purple, 64 GB)  (4 GB RAM)",N/A,13% off,N/A,4.3
"Infinix Hot 10 Play (7° Purple, 64 GB)  (4 GB RAM)","₹10,999",13% off,"₹9,490",4.3
"Infinix Hot 10S (Morandi Green, 64 GB)  (4 GB RAM)",N/A,23% off,N/A,4.3
"Infinix Note 11s Free Fire Edition (Mithril Grey, 128 GB)  (8 GB RAM)",N/A,15% off,N/A,4.3
"Infinix Smart 7 HD (Ink Black, 64 GB)  (2 GB RAM)","₹7,999",22% off,"₹6,199",4.2
"Infinix Smart 7 HD (Silk Blue, 64 GB)  (2 GB RAM)",N/A,22% off,N/A,4.2
"Infinix Smart 7 HD (Green Apple, 64 GB)  (2 GB RAM)","₹7,999",22% off,"₹6,199",4.2
"Infinix Smart 6 HD (Force Black, 32 GB)  (2 GB RAM)",N/A,60% off,N/A,4.3
"Infinix Smart 6 HD (Origin Blue, 32 GB)  (2 GB RAM)","₹8,999",22% off,"₹6,999",4.3
"Infinix Smart 6 HD (Aqua Sky, 32 GB)  (2 GB RAM)","₹8,999",22% off,"₹6,999",4.3
"Infinix Smart 7 HD (Jade White, 64 GB)  (2 GB RAM)","₹7,999",22% off,"₹6,199",4.2
"Infinix SMART 7 (Emerald Green, 64 GB)  (4 GB RAM)",N/A,25% off,N/A,4.3
"Infinix SMART 7 (Azure Blue, 64 GB)  (4 GB RAM)","₹9,999",25% off,"₹7,499",4.3
"Infinix Zero 5G 2023 (Submariner Black, 128 GB)  (8 GB RAM)","₹24,999",28% off,"₹17,999",4.1
"Infinix SMART 7 (Azure Blue, 128 GB)  (4 GB RAM)","₹10,999",29% off,"₹7,799",4.3
"Infinix SMART 7 (Night Black, 64 GB)  (4 GB RAM)",N/A,25% off,N/A,4.3
"Infinix SMART 7 (Emerald Green, 128 GB)  (4 GB RAM)","₹10,999",29% off,"₹7,799",4.3
"Infinix GT10 Pro (Cyber Black, 256 GB)  (8 GB RAM)",N/A,22% off,"₹24,999",4.2
"Infinix GT10 Pro (Mirage Silver, 256 GB)  (8 GB RAM)",N/A,22% off,N/A,4.2
"Infinix Zero Ultra (Genesis Noir, 256 GB)  (8 GB RAM)",N/A,26% off,N/A,4
"Infinix SMART 8 HD (Shiny Gold, 64 GB)  (4 GB RAM)","₹8,999",22% off,"₹6,999",4.3
"Infinix SMART 8 HD (Timber Black, 64 GB)  (4 GB RAM)","₹8,999",22% off,"₹6,999",4.3
"Infinix SMART 8 HD (Crystal Green, 64 GB)  (4 GB RAM)",N/A,22% off,N/A,4.3
"Infinix SMART 8 (Galaxy White, 128 GB)  (8 GB RAM)","₹10,999",18% off,"₹8,999",4.3
"Infinix SMART 8 HD (Galaxy White, 64 GB)  (4 GB RAM)","₹8,999",22% off,"₹6,999",4.3
"Infinix Note 40X 5G (Lime Green, 256 GB)  (8 GB RAM)",N/A,30% off,N/A,4.2
"Infinix Zero Flip 5G (Rock Black, 512 GB)  (8 GB RAM)",N/A,37% off,N/A,4.6
"Infinix Zero 40 5G (Moving Titanium, 512 GB)  (12 GB RAM)","₹41,999",26% off,"₹30,999",4.2
"Infinix Zero 30 5G (Fantasy Purple, 256 GB)  (12 GB RAM)",N/A,16% off,N/A,4.2
"Infinix HOT 30 5G (Miami Orange, 128 GB)  (8 GB RAM)","₹16,999",20% off,"₹13,499",4.2
"Infinix HOT 30 5G (Knight Black, 128 GB)  (8 GB RAM)","₹16,999",20% off,"₹13,499",4.2
"Infinix HOT 30 5G (Aurora Blue, 128 GB)  (8 GB RAM)","₹16,999",20% off,"₹13,499",4.2
"Infinix HOT 30 5G (Miami Orange, 128 GB)  (4 GB RAM)","₹14,999",16% off,"₹12,499",4.2
"Infinix HOT 30 5G (Aurora Blue, 128 GB)  (4 GB RAM)",N/A,16% off,N/A,4.2
"Infinix Zero 30 5G (Fantasy Purple, 256 GB)  (8 GB RAM)","₹27,999",14% off,"₹23,999",4.2
"Infinix HOT 12 Play (Champagne Gold, 64 GB)  (4 GB RAM)","₹11,999",25% off,"₹8,999",4.3
"Infinix Hot 11 (Emerald Green, 64 GB)  (4 GB RAM)",N/A,16% off,N/A,4.3
"Infinix Note 11 (Glacier Green, 128 GB)  (6 GB RAM)","₹16,999",14% off,"₹14,499",4.2
"Infinix Hot 11S (Green Wave, 128 GB)  (4 GB RAM)",N/A,20% off,N/A,4.3
"Infinix Hot 11S (Silver Wave, 128 GB)  (4 GB RAM)",N/A,20% off,N/A,4.3
"Infinix Hot 11S (7° Purple, 128 GB)  (4 GB RAM)",N/A,20% off,N/A,4.3
"Infinix Hot 11S (Silver Wave, 64 GB)  (4 GB RAM)","₹13,999",21% off,"₹10,999",4.3
"Infinix Hot 12 Pro (Halo White, 128 GB)  (8 GB RAM)",N/A,18% off,N/A,4
"Infinix S4 (Nebula Blue, 32 GB)  (3 GB RAM)",N/A,60% off,N/A,4.2
"Infinix Note 30 5G (Interstellar Blue, 256 GB)  (8 GB RAM)",N/A,20% off,N/A,4.2
"Infinix Note 30 5G (Sunset Gold, 256 GB)  (8 GB RAM)","₹19,999",20% off,"₹15,999",4.2
"Infinix Note 30 5G (Sunset Gold, 128 GB)  (4 GB RAM)","₹17,999",16% off,"₹14,999",4.2
"Infinix Zero 20 (DEEP GRAY, 128 GB)  (8 GB RAM)",N/A,28% off,N/A,4.1
"Infinix Note 30 5G (Interstellar Blue, 128 GB)  (4 GB RAM)",N/A,16% off,N/A,4.2
"Infinix Hot 12 (7° Purple, 64 GB)  (4 GB RAM)","₹12,999",23% off,"₹9,999",4.2
"Infinix Hot 12 (Exploratory Blue, 64 GB)  (4 GB RAM)",N/A,23% off,N/A,4.2
"Infinix Hot 12 (Polar Black, 64 GB)  (4 GB RAM)",N/A,23% off,N/A,4.2
"Infinix Smart HD 2021 (Obsidian Black, 32 GB)  (2 GB RAM)","₹7,999",18% off,"₹6,499",4.3
"Infinix Hot 12 (Turquoise Cyan, 64 GB)  (4 GB RAM)","₹12,999",23% off,"₹9,999",4.2
"Infinix Hot 9 (Quetzal Cyan, 64 GB)  (4 GB RAM)",N/A,57% off,N/A,4.4
"Infinix Hot 9 (Violet, 64 GB)  (4 GB RAM)",N/A,57% off,"₹11,999",4.4
"Infinix Hot 9 (Ocean Wave, 64 GB)  (4 GB RAM)",N/A,57% off,N/A,4.4
"Infinix Note 11s (Mithril Grey, 64 GB)  (6 GB RAM)",N/A,17% off,N/A,4.3
"Infinix Note 11s (Haze Green, 64 GB)  (6 GB RAM)","₹16,999",17% off,"₹13,999",4.3
"Infinix Note 11s (Symphony Cyan, 64 GB)  (6 GB RAM)",N/A,17% off,N/A,4.3
