Product name,Original Price,Discount,Price After Discount,Ratings
"IQOO z9x (Tornado Green, 128 GB)  (6 GB RAM)",N/A,24% off,N/A,4.3
"IQOO Z9 Lite 5G (?Aqua Flow, 128 GB)  (4 GB RAM)",N/A,29% off,N/A,4.2
"IQOO Z9 Lite 5G (Mocha Brown, 128 GB)  (6 GB RAM)",N/A,25% off,N/A,4.3
"IQOO Z7 Pro 5G (Graphite Matte, 256 GB)  (8 GB RAM)","₹27,999",17% off,"₹22,995",4.4
"IQOO Z9 Lite 5G (Aqua Flow, 128 GB)  (6 GB RAM)",N/A,23% off,N/A,4.3
"IQOO Z9X (Tornado Green, 128 GB)  (8 GB RAM)",N/A,26% off,N/A,4.3
"IQOO Z9x (Storm Grey, 128 GB)  (4 GB RAM)","₹17,999",29% off,"₹12,667",4.2
"IQOO Z9x (Tornado Green, 128 GB)  (4 GB RAM)","₹17,999",29% off,"₹12,679",4.2
"IQOO Z9 Lite 5G (Mocha Brown, 128 GB)  (4 GB RAM)","₹14,499",24% off,"₹10,977",4.2
"IQOO Z9 LITE 5G (Mocha Brown, 128 GB)  (4 GB RAM)",N/A,20% off,N/A,4.2
"IQOO Z9 LITE 5G (Aqua Flow, 128 GB)  (6 GB RAM)",N/A,21% off,N/A,4.3
"IQOO Z9s 5G (Onyx Green, 128 GB)  (8 GB RAM)","₹25,999",13% off,"₹22,385",4.4
"IQOO Z9s 5G (Titanium Matte, 128 GB)  (8 GB RAM)","₹25,999",5% off,"₹24,590",4.4
"IQOO Z9 (Brushed Green, 128 GB)  (8 GB RAM)","₹24,999",24% off,"₹18,799",4.4
"IQOO Z9S PRO 5G (Luxe Marble, 128 GB)  (8 GB RAM)","₹29,999",13% off,"₹25,949",4.5
"IQOO Z9s Pro 5G (Luxe Marble, 128 GB)  (8 GB RAM)",N/A,8% off,N/A,4.5
"IQOO Z7 Pro 5G (Blue Lagoon, 128 GB)  (8 GB RAM)",N/A,22% off,N/A,4.4
"IQOO Z7 Pro 5G (Blue Lagoon, 256 GB)  (8 GB RAM)",N/A,21% off,N/A,4.4
"IQOO Neo9 Pro (Conqueror Black, 256 GB)  (8 GB RAM)",N/A,9% off,N/A,4.5
"IQOO Z9X (Storm Grey, 128 GB)  (8 GB RAM)",N/A,28% off,N/A,4.3
"IQOO Z9S 5G (Onyx Green, 256 GB)  (8 GB RAM)","₹27,999",1% off,"₹27,500",4.4
"IQOO Z9S 5G (Titanium Matte, 256 GB)  (12 GB RAM)",N/A,N/A,N/A,4.4
"IQOO Z9 5G (Graphene Blue, 128 GB)  (8 GB RAM)",N/A,25% off,N/A,4.4
"IQOO Z9S PRO 5G (Flamboyant Orange, 128 GB)  (8 GB RAM)","₹29,999",14% off,"₹25,679",4.5
"IQOO z9x (Tornado Green, 128 GB)  (6 GB RAM)","₹18,999",24% off,"₹14,399",4.3
"IQOO Z9 Lite 5G (?Aqua Flow, 128 GB)  (4 GB RAM)","₹14,499",29% off,"₹10,160",4.2
"IQOO Z9 Lite 5G (Mocha Brown, 128 GB)  (6 GB RAM)",N/A,25% off,N/A,4.3
"IQOO Z7 Pro 5G (Graphite Matte, 256 GB)  (8 GB RAM)","₹27,999",17% off,"₹22,995",4.4
"IQOO Z9 Lite 5G (Aqua Flow, 128 GB)  (6 GB RAM)",N/A,23% off,N/A,4.3
"IQOO Z9X (Tornado Green, 128 GB)  (8 GB RAM)",N/A,26% off,N/A,4.3
"IQOO Z9x (Storm Grey, 128 GB)  (4 GB RAM)",N/A,29% off,N/A,4.2
"IQOO Z9x (Tornado Green, 128 GB)  (4 GB RAM)","₹17,999",29% off,"₹12,679",4.2
"IQOO Z9 Lite 5G (Mocha Brown, 128 GB)  (4 GB RAM)","₹14,499",24% off,"₹10,977",4.2
"IQOO Z9 LITE 5G (Mocha Brown, 128 GB)  (4 GB RAM)","₹14,499",20% off,"₹11,469",4.2
"IQOO Z9 LITE 5G (Aqua Flow, 128 GB)  (6 GB RAM)","₹15,499",21% off,"₹12,180",4.3
"IQOO Z9s 5G (Onyx Green, 128 GB)  (8 GB RAM)","₹25,999",13% off,"₹22,385",4.4
"IQOO Z9s 5G (Titanium Matte, 128 GB)  (8 GB RAM)","₹25,999",5% off,"₹24,590",4.4
"IQOO Z9 (Brushed Green, 128 GB)  (8 GB RAM)",N/A,24% off,N/A,4.4
"IQOO Z9S PRO 5G (Luxe Marble, 128 GB)  (8 GB RAM)","₹29,999",13% off,"₹25,949",4.5
