Product name,Original Price,Discount,Price After Discount,Ratings
"Lenovo Vibe K5 Note (Gold, 32 GB)  (4 GB RAM)",N/A,62% off,"₹12,499",4.1
"Lenovo Phab 2 (Champagne Gold, 32 GB)  (3 GB RAM)","₹12,000",14% off,"₹10,310",4
"Lenovo Phab 2 (Gunmetal Gray, 32 GB)  (3 GB RAM)","₹12,000",15% off,"₹10,090",4
"Lenovo K8 Plus (Venom Black, 32 GB)  (3 GB RAM)",N/A,8% off,N/A,4.2
"Lenovo A6 Note (Blue, 32 GB)  (3 GB RAM)",N/A,50% off,"₹9,999",4.2
"Lenovo K10 Plus (Black, 64 GB)  (4 GB RAM)",N/A,55% off,"₹13,999",4.1
"Lenovo VIBE P1m (White, 16 GB)  (2 GB RAM)",N/A,64% off,"₹6,999",4.1
"Lenovo K9 (Black, 32 GB)  (3 GB RAM)",N/A,50% off,"₹9,999",4.2
"Lenovo K9 Note (Black, 64 GB)  (4 GB RAM)",N/A,62% off,N/A,4.1
"Lenovo VIBE P1m (Black, 16 GB)  (2 GB RAM)",N/A,64% off,"₹6,999",4.1
"Lenovo Vibe K5 Plus (Dark Grey, 16 GB)  (3 GB RAM)",N/A,50% off,"₹7,999",4
"Lenovo Vibe K5 Plus (Gold, 16 GB)  (3 GB RAM)",N/A,50% off,"₹7,999",4
"Lenovo Vibe K5 Plus (Silver, 16 GB)  (2 GB RAM)",N/A,50% off,"₹8,499",4
"Lenovo Vibe K5 Plus (Golden, 16 GB)  (2 GB RAM)",N/A,50% off,N/A,4
"Lenovo Vibe K5 Plus (Dark Grey, 16 GB)  (2 GB RAM)",N/A,50% off,"₹8,499",4
"Lenovo Vibe K5 Plus (Silver, 16 GB)  (3 GB RAM)",N/A,N/A,"₹8,499",4
"Lenovo A7000 Turbo (Black, 16 GB)  (2 GB RAM)","₹12,249",9% off,"₹11,100",3.8
"Lenovo K6 Note (Silver, 32 GB)  (4 GB RAM)","₹15,999",46% off,"₹8,499",4
"Lenovo K6 Note (Golden, 32 GB)  (4 GB RAM)",N/A,N/A,"₹9,450",4
"Lenovo A7 (Blue, 64 GB)  (4 GB RAM)","₹11,999",38% off,"₹7,409",4
"Lenovo K6 Note (Grey/Dark Grey, 32 GB)  (4 GB RAM)",N/A,47% off,N/A,4
"Lenovo K9 Note (Gold, 64 GB)  (4 GB RAM)",N/A,62% off,N/A,4.1
"Lenovo K10 Plus (Sprite, 64 GB)  (4 GB RAM)",N/A,55% off,N/A,4.1
"Lenovo P780 (Deep Black, 4 GB)  (1 GB RAM)",N/A,6% off,N/A,4.1
"Lenovo Vibe K5 Note (Gold, 32 GB)  (4 GB RAM)",N/A,62% off,"₹12,499",4.1
"Lenovo Phab 2 (Champagne Gold, 32 GB)  (3 GB RAM)","₹12,000",14% off,"₹10,310",4
"Lenovo Phab 2 (Gunmetal Gray, 32 GB)  (3 GB RAM)",N/A,15% off,N/A,4
"Lenovo K8 Plus (Venom Black, 32 GB)  (3 GB RAM)","₹11,999",8% off,"₹10,999",4.2
"Lenovo A6 Note (Blue, 32 GB)  (3 GB RAM)",N/A,50% off,"₹9,999",4.2
"Lenovo K10 Plus (Black, 64 GB)  (4 GB RAM)",N/A,55% off,"₹13,999",4.1
"Lenovo VIBE P1m (White, 16 GB)  (2 GB RAM)",N/A,64% off,"₹6,999",4.1
"Lenovo K9 (Black, 32 GB)  (3 GB RAM)",N/A,50% off,N/A,4.2
"Lenovo K9 Note (Black, 64 GB)  (4 GB RAM)",N/A,62% off,"₹11,999",4.1
"Lenovo VIBE P1m (Black, 16 GB)  (2 GB RAM)",N/A,64% off,"₹6,999",4.1
"Lenovo Vibe K5 Plus (Dark Grey, 16 GB)  (3 GB RAM)",N/A,50% off,"₹7,999",4
"Lenovo Vibe K5 Plus (Gold, 16 GB)  (3 GB RAM)",N/A,50% off,N/A,4
"Lenovo Vibe K5 Plus (Silver, 16 GB)  (2 GB RAM)",N/A,50% off,"₹8,499",4
"Lenovo Vibe K5 Plus (Golden, 16 GB)  (2 GB RAM)",N/A,50% off,N/A,4
"Lenovo Vibe K5 Plus (Silver, 16 GB)  (3 GB RAM)",N/A,N/A,"₹8,499",4
"Lenovo Vibe K5 Plus (Dark Grey, 16 GB)  (2 GB RAM)",N/A,50% off,N/A,4
"Lenovo A7000 Turbo (Black, 16 GB)  (2 GB RAM)",N/A,9% off,N/A,3.8
"Lenovo K6 Note (Silver, 32 GB)  (4 GB RAM)","₹15,999",46% off,"₹8,499",4
"Lenovo K6 Note (Golden, 32 GB)  (4 GB RAM)",N/A,N/A,N/A,4
"Lenovo A7 (Blue, 64 GB)  (4 GB RAM)",N/A,38% off,N/A,4
"Lenovo K6 Note (Grey/Dark Grey, 32 GB)  (4 GB RAM)","₹15,999",47% off,"₹8,400",4
"Lenovo K9 Note (Gold, 64 GB)  (4 GB RAM)",N/A,62% off,"₹11,999",4.1
"Lenovo A5 (Gold, 16 GB)  (2 GB RAM)",N/A,64% off,N/A,4.1
"Lenovo K10 Plus (Sprite, 64 GB)  (4 GB RAM)",N/A,55% off,"₹13,999",4.1
"Lenovo K9 (Blue, 32 GB)  (3 GB RAM)",N/A,50% off,N/A,4.2
"Lenovo A6000 Plus (Red, 16 GB)  (2 GB RAM)",N/A,50% off,"₹7,499",4.1
"Lenovo K10 Note (Black, 128 GB)  (6 GB RAM)",N/A,33% off,N/A,4.1
"Lenovo A6000 Plus (White, 16 GB)  (2 GB RAM)","₹8,499",11% off,"₹7,499",4.1
