Product name,Original Price,Discount,Price After Discount,Ratings
"Motorola G85 5G (Cobalt Blue, 128 GB)  (8 GB RAM)","₹20,999",14% off,"₹17,999",4.5
"Motorola g45 5G (Brilliant Green, 128 GB)  (8 GB RAM)",N/A,13% off,N/A,4.4
"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)  (12 GB RAM)","₹27,999",10% off,"₹24,999",4.5
"Motorola g45 5G (Brilliant Green, 128 GB)  (4 GB RAM)","₹12,999",15% off,"₹10,999",4.3
"Motorola Edge 50 Fusion (Hot Pink, 128 GB)  (8 GB RAM)",N/A,11% off,N/A,4.5
"Motorola g45 5G (Viva Magenta, 128 GB)  (8 GB RAM)","₹14,999",13% off,"₹12,999",4.4
"Motorola g45 5G (Brilliant Blue, 128 GB)  (8 GB RAM)",N/A,13% off,N/A,4.4
"Motorola g45 5G (Brilliant Blue, 128 GB)  (4 GB RAM)",N/A,15% off,N/A,4.3
"Motorola g64 5G (Mint Green, 256 GB)  (12 GB RAM)","₹19,999",15% off,"₹16,999",4.2
"Motorola Edge 50 Fusion (Hot Pink, 256 GB)  (12 GB RAM)",N/A,10% off,N/A,4.5
"Motorola G85 5G (Olive Green, 128 GB)  (8 GB RAM)",N/A,14% off,N/A,4.5
"Motorola Edge 50 Pro 5G with 125W Charger (Luxe Lavender, 256 GB)  (12 GB RAM)",N/A,14% off,N/A,4.4
"Motorola G85 5G (Viva Magenta, 256 GB)  (12 GB RAM)","₹22,999",13% off,"₹19,999",4.4
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)","₹19,999",15% off,"₹16,999",4.2
"Motorola Edge 50 Pro 5G with 125W Charger (Black Beauty, 256 GB)  (12 GB RAM)","₹41,999",14% off,"₹35,999",4.4
"Motorola g64 5G (Pearl Blue, 256 GB)  (12 GB RAM)","₹19,999",15% off,"₹16,999",4.2
"Motorola G85 5G (Viva Magenta, 128 GB)  (8 GB RAM)",N/A,14% off,N/A,4.5
"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)  (8 GB RAM)","₹25,999",11% off,"₹22,999",4.5
"Motorola G85 5G (Urban Grey, 256 GB)  (12 GB RAM)",N/A,13% off,N/A,4.4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB)  (12 GB RAM)",N/A,14% off,N/A,4.4
"Motorola Edge 50 Pro 5G with 125W Charger (Vanilla Cream, 256 GB)  (12 GB RAM)","₹41,999",14% off,"₹35,999",4.4
"Motorola g04s (Satin Blue, 64 GB)  (4 GB RAM)","₹9,999",27% off,"₹7,299",4.2
"Motorola G85 5G (Olive Green, 256 GB)  (12 GB RAM)","₹22,999",13% off,"₹19,999",4.4
"Motorola Edge 50 Fusion (Forest Blue, 128 GB)  (8 GB RAM)","₹25,999",11% off,"₹22,999",4.5
"Motorola G85 5G (Cobalt Blue, 128 GB)  (8 GB RAM)",N/A,14% off,N/A,4.5
"Motorola g45 5G (Brilliant Green, 128 GB)  (8 GB RAM)",N/A,13% off,N/A,4.4
"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)  (12 GB RAM)",N/A,10% off,N/A,4.5
"Motorola g45 5G (Brilliant Green, 128 GB)  (4 GB RAM)","₹12,999",15% off,"₹10,999",4.3
"Motorola Edge 50 Fusion (Hot Pink, 128 GB)  (8 GB RAM)","₹25,999",11% off,"₹22,999",4.5
"Motorola g45 5G (Viva Magenta, 128 GB)  (8 GB RAM)","₹14,999",13% off,"₹12,999",4.4
"Motorola g45 5G (Brilliant Blue, 128 GB)  (8 GB RAM)","₹14,999",13% off,"₹12,999",4.4
"Motorola g45 5G (Brilliant Blue, 128 GB)  (4 GB RAM)","₹12,999",15% off,"₹10,999",4.3
"Motorola g64 5G (Mint Green, 256 GB)  (12 GB RAM)","₹19,999",15% off,"₹16,999",4.2
"Motorola Edge 50 Fusion (Hot Pink, 256 GB)  (12 GB RAM)",N/A,10% off,N/A,4.5
"Motorola G85 5G (Olive Green, 128 GB)  (8 GB RAM)","₹20,999",14% off,"₹17,999",4.5
"Motorola Edge 50 Pro 5G with 125W Charger (Luxe Lavender, 256 GB)  (12 GB RAM)",N/A,14% off,N/A,4.4
