Product name,Original Price,Discount,Price After Discount,Ratings
"realme P2 Pro 5G (Eagle Grey, 128 GB)  (8 GB RAM)","₹25,999",15% off,"₹21,999",4.5
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)  (8 GB RAM)","₹21,999",19% off,"₹17,699",4.4
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)  (8 GB RAM)","₹19,999",20% off,"₹15,837",4.4
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)  (8 GB RAM)","₹19,999",20% off,"₹15,848",4.4
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)  (8 GB RAM)","₹21,999",15% off,"₹18,490",4.4
"OnePlus Nord CE4 lite 5G (MEGA BLUE, 128 GB)  (8 GB RAM)","₹20,999",14% off,"₹18,041",4.4
"OnePlus Nord CE4 lite 5G (MEGA BLUE, 256 GB)  (8 GB RAM)","₹23,999",10% off,"₹21,399",4.4
"OnePlus Nord CE4 lite 5G (SUPER SILVER, 256 GB)  (8 GB RAM)","₹23,999",9% off,"₹21,735",4.4
"OnePlus Nord CE4 lite 5G (SUPER SILVER, 128 GB)  (8 GB RAM)","₹20,999",11% off,"₹18,485",4.4
"OnePlus Nord CE4 (Dark Chrome, 128 GB)  (8 GB RAM)","₹24,999",10% off,"₹22,499",4.5
"OnePlus N20 SE (CELESTIAL BLACK, 128 GB)  (4 GB RAM)","₹17,999",40% off,"₹10,699",4.1
"OnePlus Nord CE4 lite 5G (ULTRA ORANGE, 128 GB)  (8 GB RAM)","₹21,099",15% off,"₹17,880",4.4
"OnePlus Nord CE4 lite 5G (ULTRA ORANGE, 256 GB)  (8 GB RAM)","₹23,999",4% off,"₹22,882",4.4
"OnePlus Nord CE4 (Celadon Marble, 256 GB)  (8 GB RAM)","₹26,999",7% off,"₹24,995",4.5
"OnePlus Nord CE4 (Dark Chrome, 256 GB)  (8 GB RAM)","₹26,999",8% off,"₹24,778",4.5
"OnePlus N20 SE (JADE WAVE, 128 GB)  (4 GB RAM)","₹19,999",45% off,"₹10,899",4.1
"OnePlus Nord 3 5G (Tempest Gray, 128 GB)  (8 GB RAM)","₹33,999",33% off,"₹22,749",4.3
"OnePlus Nord CE4 (Celadon Marble, 128 GB)  (8 GB RAM)","₹24,999",8% off,"₹22,980",4.5
"OnePlus Nord 3 5G (Misty Green, 128 GB)  (8 GB RAM)","₹33,999",34% off,"₹22,420",4.3
"OnePlus 12R (Iron Grey, 256 GB)  (16 GB RAM)","₹45,999",11% off,"₹40,903",4.5
"OnePlus 12R (Cool Blue, 256 GB)  (8 GB RAM)","₹42,999",13% off,"₹37,210",4.5
"OnePlus 11R 5G (Sonic Black, 256 GB)  (16 GB RAM)","₹44,999",17% off,"₹36,952",4.5
"OnePlus 11R 5G (Galactic Silver, 256 GB)  (16 GB RAM)","₹44,999",18% off,"₹36,471",4.5
"OnePlus 12 (Silky Black, 256 GB)  (12 GB RAM)","₹64,999",11% off,"₹57,490",4.6
"OnePlus 12 (Flowy Emerald, 256 GB)  (12 GB RAM)","₹64,999",9% off,"₹58,999",4.6
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)  (6 GB RAM)","₹19,999",10% off,"₹17,999",4.4
"realme P2 Pro 5G (Eagle Grey, 128 GB)  (8 GB RAM)","₹25,999",15% off,"₹21,999",4.5
"OnePlus Nord 3 5G (Misty Green, 256 GB)  (16 GB RAM)","₹37,999",N/A,"₹37,630",4.4
"OnePlus 11 5G (Eternal Green, 256 GB)  (16 GB RAM)","₹61,999",32% off,"₹41,876",4.5
"OnePlus 11R 5G (Sonic Black, 128 GB)  (8 GB RAM)","₹39,999",24% off,"₹30,159",4.5
"OnePlus 11R 5G (Red, Solar Red, 128 GB)  (8 GB RAM)","₹39,999",21% off,"₹31,400",4.5
"OnePlus Nord CE3 5G (Grey Shimmer, 128 GB)  (8 GB RAM)","₹26,999",31% off,"₹18,599",4.4
"OnePlus 12R (Cool Blue, 256 GB)  (16 GB RAM)","₹45,999",10% off,"₹41,189",4.5
"OnePlus 12R (Iron Gray, 256 GB)  (8 GB RAM)","₹42,999",14% off,"₹36,955",4.5
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)  (6 GB RAM)","₹19,999",7% off,"₹18,470",4.4
"OnePlus 11 5G (Titan Black, 128 GB)  (8 GB RAM)","₹56,999",30% off,"₹39,645",4.4
"OnePlus 11R 5G (Galactic Silver, 128 GB)  (8 GB RAM)","₹39,999",21% off,"₹31,499",4.5
"OnePlus Nord 4 5G (Obsidian Midnight, 256 GB)  (12 GB RAM)","₹35,999",2% off,"₹35,199",4.5
"OnePlus Nord 4 5G (Obsidian Midnight, 256 GB)  (8 GB RAM)","₹32,999",6% off,"₹30,941",4.5
"OnePlus Nord 4 5G (Mercurial Silver, 256 GB)  (8 GB RAM)","₹32,999",6% off,"₹30,781",4.5
"OnePlus Nord 4 5G (Oasis Green, 256 GB)  (8 GB RAM)","₹32,999",7% off,"₹30,392",4.5
"OnePlus Nord 4 5G (Obsidian Midnight, 128 GB)  (8 GB RAM)","₹29,999",3% off,"₹28,999",4.5
"OnePlus 11 5G (Eternal Green, 256 GB)  (16 GB RAM)","₹61,999",31% off,"₹42,657",4.5
"OnePlus Nord 4 5G (Mercurial Silver, 256 GB)  (12 GB RAM)","₹35,999",2% off,"₹34,941",4.5
"OnePlus Nord 4 5G (Oasis Green, 128 GB)  (8 GB RAM)","₹29,999",N/A,"₹29,989",4.5
"OnePlus 10R (Forest Green, 128 GB)  (8 GB RAM)","₹38,999",35% off,"₹25,159",4.3
"OnePlus 11 5G (Titan Black, 128 GB)  (8 GB RAM)","₹56,999",38% off,"₹35,183",4.4
"OnePlus N20 SE (CELESTIAL BLACK, 64 GB)  (4 GB RAM)","₹16,999",36% off,"₹10,750",4.1
"OnePlus 11 5G (Titan Black, 256 GB)  (16 GB RAM)","₹61,999",3% off,"₹59,999",4.5
"OnePlus 12 (Glacial White, 256 GB)  (12 GB RAM)","₹64,999",10% off,"₹57,970",4.6
"realme P2 Pro 5G (Eagle Grey, 128 GB)  (8 GB RAM)","₹25,999",15% off,"₹21,999",4.5
"OnePlus 9 5G (Astral Black, 128 GB)  (8 GB RAM)","₹49,999",44% off,"₹27,899",3.8
"OnePlus 9 5G (Arctic Sky, 128 GB)  (8 GB RAM)","₹49,999",48% off,"₹25,990",3.8
"OnePlus 12R (Sunset Dune, 256 GB)  (8 GB RAM)","₹42,999",9% off,"₹38,760",4.5
"OnePlus Nord CE 2 5G (Bahama Blue, 128 GB)  (8 GB RAM)","₹24,999",20% off,"₹19,795",4.2
"OnePlus Nord N30 5G (Chromatic Gray, 128 GB)  (8 GB RAM)","₹24,999",32% off,"₹16,999",4.1
"OnePlus Nord 2T 5G (Jade Fog, 128 GB)  (8 GB RAM)","₹28,999",15% off,"₹24,370",4.3
"OnePlus 10R (Forest Green, 128 GB)  (8 GB RAM)","₹38,999",31% off,"₹26,749",4.3
"OnePlus 11 5G (Eternal Green, 128 GB)  (8 GB RAM)","₹56,999",15% off,"₹56,980",4.4
"OnePlus 10 Pro 5G (Emerald Forest, 128 GB)  (8 GB RAM)","₹74,999",2% off,"₹73,299",4.2
"OnePlus 9R 5G (Carbon Black, 128 GB)  (8 GB RAM)","₹39,999",32% off,"₹26,999",3.9
"OnePlus 10T 5G (Moonstone Black, 128 GB)  (8 GB RAM)","₹49,999",28% off,"₹35,990",4.3
"OnePlus 10 Pro 5G (Volcanic Black, 128 GB)  (8 GB RAM)","₹66,999",37% off,"₹42,098",4.2
"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)  (8 GB RAM)",N/A,N/A,"₹28,999",4.3
"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)  (8 GB RAM)","₹28,999",17% off,"₹23,990",4.3
"OnePlus 11 5G (Marble Odyssey, 256 GB)  (16 GB RAM)","₹64,999",23% off,"₹49,999",4.5
"OnePlus 10T 5G (Moonstone Black, 256 GB)  (12 GB RAM)","₹54,999",30% off,"₹38,390",4.2
"OnePlus 10T 5G (Jade Green, 128 GB)  (8 GB RAM)","₹49,999",32% off,"₹33,990",4.3
"OnePlus 10 Pro 5G (Emerald Forest, 256 GB)  (12 GB RAM)","₹71,999",23% off,"₹54,999",4
"OnePlus 10R 5G (Prime Blue, 128 GB)  (8 GB RAM)","₹38,999",14% off,"₹33,290",4.3
"OnePlus Nord (Gray Onyx, 64 GB)  (6 GB RAM)","₹24,999",9% off,"₹22,689",4.2
"OnePlus 7T (Frosted Silver, 128 GB)  (8 GB RAM)","₹37,999",21% off,"₹29,990",4.6
"OnePlus 10R (Sierra Black, 128 GB)  (8 GB RAM)","₹38,999",31% off,"₹26,699",4.3
"OnePlus 10R 5G (Sierra Black, 256 GB)  (12 GB RAM)","₹42,999",6% off,"₹39,999",4.2
"OnePlus 10R (Forest Green, 128 GB)  (8 GB RAM)","₹38,999",28% off,"₹27,750",4.3
"OnePlus 10R (Sierra Black, 128 GB)  (8 GB RAM)","₹38,999",25% off,"₹28,989",4.3
"OnePlus 8T 5G (Aquamarine Green, 128 GB)  (8 GB RAM)","₹42,999",40% off,"₹25,469",4.2
"(Refurbished) OnePlus 10T 5G (Jade Green, 128 GB)  (8 GB RAM)","₹49,999",48% off,"₹25,999",3.5
"(Refurbished) OnePlus 10R (Sierra Black, 128 GB)  (8 GB RAM)","₹38,999",43% off,"₹21,999",3.5
"OnePlus N20 SE (BLUE OASIS, 64 GB)  (4 GB RAM)","₹17,999",38% off,"₹10,990",4.1
"OnePlus 12R (Sunset Dune, 256 GB)  (16 GB RAM)","₹45,999",2% off,"₹44,999",4.5
"OnePlus Nord 3 5G (Tempest Gray, 256 GB)  (16 GB RAM)","₹37,999",5% off,"₹35,938",4.4
"OnePlus 11 5G (Titan Black, 256 GB)  (16 GB RAM)","₹61,999",27% off,"₹45,000",4.5
"OnePlus 12R (Cool Blue, 128 GB)  (8 GB RAM)","₹39,999",12% off,"₹34,999",4.5
"OnePlus 12R (Iron Gray, 128 GB)  (8 GB RAM)","₹39,999",11% off,"₹35,340",4.5
"OnePlus Nord CE3 5G (Grey Shimmer, 256 GB)  (12 GB RAM)","₹28,999",5% off,"₹27,264",4.4
"OnePlus Nord CE3 5G (Aqua Surge, 256 GB)  (12 GB RAM)","₹28,999",6% off,"₹26,999",4.4
"OnePlus 11R 5G (SOLAR RED, 256 GB)  (16 GB RAM)",N/A,N/A,"₹44,999",4.5
"OnePlus Nord 4 5G (Mercurial Silver, 128 GB)  (8 GB RAM)",N/A,N/A,"₹29,999",4.5
"OnePlus 11R 5G (Solar Red, 512 GB)  (18 GB RAM)","₹39,999",N/A,"₹39,900",4.4
"OnePlus 11 5G (Eternal Green, 128 GB)  (8 GB RAM)","₹56,999",31% off,"₹38,900",4.4
"OnePlus Nord 3 5G (Misty Green, 256 GB)  (16 GB RAM)",N/A,N/A,"₹37,999",4.4
"OnePlus 12R (Sunset Dune, 128 GB)  (8 GB RAM)","₹39,999",N/A,"₹39,990",4.5
"OnePlus 9 5G (Arctic Sky, 256 GB)  (12 GB RAM)","₹54,999",35% off,"₹35,499",3.9
"OnePlus Nord CE 2 5G (Bahama Blue, 128 GB)  (6 GB RAM)","₹23,999",10% off,"₹21,489",4.2
"OnePlus Nord CE 2 5G (Bahama Blue, 128 GB)  (8 GB RAM)","₹24,999",20% off,"₹19,999",4.2
"OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)  (6 GB RAM)",N/A,N/A,"₹23,990",4.2
"OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)  (8 GB RAM)","₹24,999",28% off,"₹17,999",4.2
"OnePlus Nord CE 2 5G (Bahama Blue, 128 GB)  (8 GB RAM)","₹24,999",28% off,"₹17,999",4.2
"OnePlus Nord 4 5G (Oasis Green, 256 GB)  (12 GB RAM)","₹35,880",8% off,"₹32,899",4.5
"OnePlus 9RT 5G (Nano Silver, 256 GB)  (12 GB RAM)","₹46,999",21% off,"₹36,999",4
"OnePlus 9RT 5G (Hacker Black, 128 GB)  (8 GB RAM)","₹42,999",18% off,"₹34,999",4.3
"OnePlus Nord 2T 5G (Gray Shadow, 256 GB)  (12 GB RAM)","₹33,990",41% off,"₹19,999",4.3
"OnePlus 9 5G (Arctic Sky, 128 GB)  (8 GB RAM)",N/A,N/A,"₹37,290",3.8
"OnePlus 9RT 5G (Hacker Black, 256 GB)  (12 GB RAM)","₹46,999",21% off,"₹36,999",4
"OnePlus Nord (Gray Ash, 256 GB)  (12 GB RAM)","₹29,999",23% off,"₹22,999",3.9
"OnePlus 9 5G (Arctic Sky, 256 GB)  (12 GB RAM)","₹49,999",34% off,"₹32,780",3.9
"OnePlus 9 Pro 5G (Stellar Black, 256 GB)  (12 GB RAM)","₹64,999",30% off,"₹44,990",3.8
"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)  (8 GB RAM)","₹28,999",6% off,"₹27,000",4.3
"OnePlus 10R 5G (Forest Green, 256 GB)  (12 GB RAM)","₹42,999",16% off,"₹35,999",4.2
"OnePlus 9 5G (Astral Black, 256 GB)  (12 GB RAM)","₹54,999",24% off,"₹41,499",3.9
"OnePlus Nord 2 5G (Gray Sierra, 128 GB)  (8 GB RAM)","₹27,199",12% off,"₹23,740",4.3
"OnePlus 10R (Forest Green, 256 GB)  (12 GB RAM)","₹42,999",25% off,"₹31,866",4.1
"OnePlus Nord 2T 5G (Gray Shadow, 256 GB)  (12 GB RAM)","₹33,999",8% off,"₹30,990",4.3
"OnePlus 10R 5G (Prime Blue, 128 GB)  (8 GB RAM)","₹35,999",16% off,"₹29,999",4.3
"OnePlus 10R 5G (Prime Blue, 128 GB)  (8 GB RAM)","₹38,999",32% off,"₹26,399",4.3
"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)  (8 GB RAM)","₹28,999",8% off,"₹26,485",4.3
"OnePlus 9R 5G (Carbon Black, 256 GB)  (12 GB RAM)","₹43,999",11% off,"₹38,999",3.8
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)  (8 GB RAM)",N/A,N/A,"₹21,999",4.3
"OnePlus 7T (Frosted Silver, 256 GB)  (8 GB RAM)","₹37,999",5% off,"₹35,989",4.6
"realme P2 Pro 5G (Eagle Grey, 128 GB)  (8 GB RAM)","₹25,999",15% off,"₹21,999",4.5
"OnePlus 9 Pro 5G (Stellar Black, 256 GB)  (12 GB RAM)","₹64,999",30% off,"₹44,990",3.8
"OnePlus 9 5G (Astral Black, 256 GB)  (12 GB RAM)","₹54,999",24% off,"₹41,499",3.9
"OnePlus 10R 5G (Forest Green, 256 GB)  (12 GB RAM)","₹42,999",16% off,"₹35,999",4.2
"OnePlus Nord 2 5G (Gray Sierra, 128 GB)  (8 GB RAM)","₹27,199",12% off,"₹23,740",4.3
"OnePlus 10R (Forest Green, 256 GB)  (12 GB RAM)","₹42,999",25% off,"₹31,866",4.1
"OnePlus Nord 2T 5G (Gray Shadow, 256 GB)  (12 GB RAM)","₹33,999",8% off,"₹30,990",4.3
"OnePlus 10R 5G (Prime Blue, 128 GB)  (8 GB RAM)","₹38,999",32% off,"₹26,399",4.3
"OnePlus 9R 5G (Carbon Black, 256 GB)  (12 GB RAM)","₹43,999",11% off,"₹38,999",3.8
"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)  (8 GB RAM)","₹28,999",8% off,"₹26,485",4.3
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)  (8 GB RAM)",N/A,N/A,"₹21,999",4.3
"OnePlus 7T (Frosted Silver, 256 GB)  (8 GB RAM)","₹37,999",5% off,"₹35,989",4.6
"OnePlus 9 Pro 5G (Morning Mist, 256 GB)  (12 GB RAM)","₹69,999",31% off,"₹47,999",3.8
"OnePlus 7 (Mirror Grey, 256 GB)  (8 GB RAM)","₹37,999",3% off,"₹36,490",4.6
"OnePlus 6T (Midnight Black, 128 GB)  (8 GB RAM)","₹41,999",47% off,"₹21,999",4.3
"OnePlus One (Silk White, 16 GB)  (3 GB RAM)",N/A,20% off,"₹18,998",4.4
"OnePlus 7T (Glacier Blue, 256 GB)  (8 GB RAM)","₹39,920",27% off,"₹28,999",4.6
"OnePlus 6 (Midnight Black, 256 GB)  (8 GB RAM)","₹43,999",52% off,"₹20,999",3.2
"OnePlus 9 5G (Astral Black, 256 GB)  (12 GB RAM)",N/A,N/A,"₹39,680",3.9
"OnePlus Nord 2 5G (Blue Haze, 128 GB)  (8 GB RAM)","₹29,999",6% off,"₹27,999",4.3
"OnePlus 9 Pro 5G (Morning Mist, 256 GB)  (12 GB RAM)","₹69,999",24% off,"₹52,999",3.8
