Product name,Original Price,Discount,Price After Discount,Ratings
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB)  (6 GB RAM)","₹16,999",23% off,"₹12,999",4.5
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Feather Pink, 128 GB)  (6 GB RAM)","₹16,999",23% off,"₹12,999",4.5
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Midnight Voilet, 128 GB)  (6 GB RAM)","₹16,999",23% off,"₹12,999",4.5
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Midnight Voilet, 256 GB)  (8 GB RAM)","₹18,999",15% off,"₹15,999",4.5
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 256 GB)  (8 GB RAM)","₹18,999",15% off,"₹15,999",4.5
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Feather Pink, 256 GB)  (8 GB RAM)","₹18,999",15% off,"₹15,999",4.5
"OPPO F25 Pro 5G (Coral Purple, 128 GB)  (8 GB RAM)","₹28,999",31% off,"₹19,999",4.3
"OPPO Reno 12 Pro 5G (Space Brown, 512 GB)  (12 GB RAM)","₹55,999",26% off,"₹40,999",4.4
"OPPO F27 5G (Amber Orange, 256 GB)  (8 GB RAM)","₹28,999",20% off,"₹22,999",4.2
"OPPO F25 Pro 5G (Ocean Blue, 256 GB)  (8 GB RAM)","₹30,999",16% off,"₹25,999",4.3
"OPPO Reno11 Pro 5G (Rock Grey, 256 GB)  (12 GB RAM)","₹44,999",33% off,"₹29,999",4.4
"OPPO F27 Pro+ (Dusk Pink, 128 GB)  (8 GB RAM)","₹32,999",15% off,"₹27,999",4.3
"OPPO A77 (Sunset Orange, 128 GB)  (4 GB RAM)","₹19,999",40% off,"₹11,995",4.2
"OPPO A3 5G (Ocean Blue, 128 GB)  (6 GB RAM)","₹19,999",20% off,"₹15,999",4.2
"OPPO A38 (Glowing Gold, 128 GB)  (4 GB RAM)","₹16,999",35% off,"₹10,999",4.3
"OPPO A3x 5G (Starlight White, 64 GB)  (4 GB RAM)","₹14,999",16% off,"₹12,499",4.1
"OPPO F25 Pro 5G (Ocean Blue, 128 GB)  (8 GB RAM)","₹28,999",31% off,"₹19,999",4.3
"OPPO F25 Pro 5G (Lava Red, 256 GB)  (8 GB RAM)","₹30,999",16% off,"₹25,999",4.3
"OPPO Reno11 Pro 5G (Pearl White, 256 GB)  (12 GB RAM)","₹44,999",33% off,"₹29,999",4.4
"OPPO A78 (Aqua Green, 128 GB)  (8 GB RAM)","₹22,999",52% off,"₹10,899",4.3
"OPPO Reno 12 Pro 5G (Space Brown, 256 GB)  (12 GB RAM)","₹53,999",31% off,"₹36,999",4.4
"OPPO Reno 12 Pro 5G (Manish Malhotra Limited Edition, 256 GB)  (12 GB RAM)","₹53,999",31% off,"₹36,999",4.4
"OPPO F27 Pro+ (Midnight Navy, 128 GB)  (8 GB RAM)","₹32,999",15% off,"₹27,999",4.3
"OPPO Reno 12 Pro 5G (Sunset Gold, 512 GB)  (12 GB RAM)","₹55,999",26% off,"₹40,999",4.4
"OPPO Reno 12 Pro 5G (Sunset Gold, 256 GB)  (12 GB RAM)","₹53,999",31% off,"₹36,999",4.4
"OPPO F25 Pro 5G (Lava Red, 128 GB)  (8 GB RAM)","₹28,999",31% off,"₹19,999",4.3
"OPPO Reno 12 5G (Matte Brown, 256 GB)  (8 GB RAM)","₹43,999",25% off,"₹32,999",4.4
"OPPO A3 Pro 5G (Starry Black, 128 GB)  (8 GB RAM)","₹20,999",14% off,"₹17,999",4.3
"OPPO A3 Pro 5G (Starry Black, 256 GB)  (8 GB RAM)","₹22,999",13% off,"₹19,999",4.3
"OPPO A3 Pro 5G (Moonlight Purple, 256 GB)  (8 GB RAM)","₹22,999",13% off,"₹19,999",4.3
"OPPO F27 5G (Emerald Green, 128 GB)  (8 GB RAM)","₹26,999",22% off,"₹20,999",4.2
"OPPO A59 5G (Silk Gold, 128 GB)  (4 GB RAM)","₹17,999",22% off,"₹13,999",4.3
"OPPO F27 Pro+ (Dusk Pink, 256 GB)  (8 GB RAM)","₹34,999",14% off,"₹29,999",4.3
"OPPO F27 Pro+ (Midnight Navy, 256 GB)  (8 GB RAM)","₹34,999",14% off,"₹29,999",4.3
"OPPO F21s Pro (Dawnlight Gold, 128 GB)  (8 GB RAM)","₹27,999",45% off,"₹15,399",4.2
"OPPO A3 5G (Nebula Red, 128 GB)  (6 GB RAM)","₹19,999",20% off,"₹15,999",4.2
"OPPO Reno 12 5G (Sunset Peach, 256 GB)  (8 GB RAM)","₹43,999",25% off,"₹32,999",4.4
"OPPO Reno 12 5G (Astro Silver, 256 GB)  (8 GB RAM)","₹43,999",25% off,"₹32,999",4.4
"OPPO A59 5G (Silk Gold, 128 GB)  (6 GB RAM)","₹19,999",24% off,"₹15,097",4.3
"OPPO A3 Pro 5G (Moonlight Purple, 128 GB)  (8 GB RAM)","₹20,999",14% off,"₹17,999",4.3
"OPPO F27 5G (Amber Orange, 128 GB)  (8 GB RAM)","₹26,999",22% off,"₹20,999",4.2
"OPPO A79 5G (Mystery Black, 128 GB)  (8 GB RAM)","₹22,999",46% off,"₹12,299",4.3
"OPPO A38 (Glowing Black, 128 GB)  (4 GB RAM)","₹16,999",35% off,"₹10,999",4.3
"OPPO A59 5G (Starry Black, 128 GB)  (6 GB RAM)","₹19,999",22% off,"₹15,499",4.3
"OPPO A3x 5G (Sparkle Black, 64 GB)  (4 GB RAM)","₹14,999",16% off,"₹12,499",4.1
"OPPO Find N3 Flip (Sleek Black, 256 GB)  (12 GB RAM)","₹99,999",25% off,"₹74,999",4.3
"OPPO Reno8T 5G (Midnight Black, 128 GB)  (8 GB RAM)","₹38,999",45% off,"₹21,374",4.3
"OPPO Reno8T 5G (Sunrise Gold, 128 GB)  (8 GB RAM)",N/A,10% off,"₹38,999",4.3
"OPPO Reno10 Pro 5G (Silvery Grey, 256 GB)  (12 GB RAM)","₹44,999",15% off,"₹37,999",4.3
"OPPO A78 (Mist Black, 128 GB)  (8 GB RAM)","₹22,999",39% off,"₹13,980",4.3
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB)  (6 GB RAM)","₹16,999",23% off,"₹12,999",4.5
"realme P2 Pro 5G (Eagle Grey, 128 GB)  (8 GB RAM)","₹25,999",15% off,"₹21,999",4.5
"OPPO A59 5G (Starry Black, 128 GB)  (4 GB RAM)","₹17,999",22% off,"₹13,999",4.3
"OPPO F21 Pro (Sunset Orange, 128 GB)  (8 GB RAM)","₹27,999",47% off,"₹14,699",4.3
"OPPO A18 (Glowing Blue, 128 GB)  (4 GB RAM)","₹15,999",40% off,"₹9,499",4.3
"OPPO A18 (Glowing Black, 128 GB)  (4 GB RAM)","₹15,999",40% off,"₹9,499",4.3
"OPPO A79 5G (Glowing Green, 128 GB)  (8 GB RAM)","₹22,999",46% off,"₹12,299",4.3
"OPPO Reno10 Pro 5G (Glossy Purple, 256 GB)  (12 GB RAM)","₹44,999",15% off,"₹37,999",4.3
"OPPO A18 (Glowing Black, 64 GB)  (4 GB RAM)","₹14,999",36% off,"₹9,499",4.3
"OPPO A18 (Glowing Blue, 64 GB)  (4 GB RAM)","₹14,999",36% off,"₹9,500",4.3
"OPPO CPH2693 (Nebula Red, 128 GB)  (6 GB RAM)","₹19,999",20% off,"₹15,899",3.4
"OPPO A78 5G (Glowing Blue, 128 GB)  (8 GB RAM)","₹21,999",13% off,"₹18,990",4.3
"OPPO CPH2693 (Ocean Blue, 128 GB)  (6 GB RAM)","₹19,999",20% off,"₹15,899",3.4
"OPPO Find N2 Flip (Astral Black, 256 GB)  (8 GB RAM)","₹99,999",48% off,"₹51,499",4.1
"OPPO F21SPRO (Orange, 128 GB)  (8 GB RAM)","₹27,999",25% off,"₹20,890",4
"OPPO A3x 5G (Starry Purple, 64 GB)  (4 GB RAM)","₹14,999",16% off,"₹12,499",4.1
"OPPO A3x 5G (Starlight White, 128 GB)  (4 GB RAM)","₹15,999",15% off,"₹13,499",4.1
"OPPO F23 5G (Cool Black, 256 GB)  (8 GB RAM)","₹28,999",26% off,"₹21,299",4.2
"OPPO A3x 5G (Starlight White, 64 GB)  (4 GB RAM)","₹15,999",23% off,"₹12,299",4.1
"OPPO A3 5G (Ocean Blue, 128 GB)  (6 GB RAM)","₹19,999",20% off,"₹15,999",4.2
"OPPO Reno10 5G (Silvery Grey, 256 GB)  (8 GB RAM)","₹38,999",15% off,"₹32,999",4.3
"OPPO Reno10 Pro+ 5G (Silvery Grey, 256 GB)  (12 GB RAM)","₹59,999",8% off,"₹54,999",4.5
"OPPO Reno11 5G (Rock Grey, 128 GB)  (8 GB RAM)","₹38,999",28% off,"₹27,999",4.3
"OPPO Reno11 5G (Wave Green, 128 GB)  (8 GB RAM)","₹38,999",28% off,"₹27,999",4.3
"OPPO F21s Pro 5G (Starlight Black, 128 GB)  (8 GB RAM)","₹31,999",43% off,"₹17,999",4.2
"OPPO Reno8 5G (Shimmer Gold, 128 GB)  (8 GB RAM)",N/A,20% off,"₹38,999",4.3
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB)  (6 GB RAM)","₹16,999",23% off,"₹12,999",4.5
"realme P2 Pro 5G (Eagle Grey, 128 GB)  (8 GB RAM)","₹25,999",15% off,"₹21,999",4.5
"OPPO Reno8 5G (Shimmer Black, 128 GB)  (8 GB RAM)","₹38,000",35% off,"₹24,499",4.3
"OPPO F21s Pro 5G (Dawnlight Gold, 128 GB)  (8 GB RAM)",N/A,10% off,"₹31,999",4.2
"(Refurbished) OPPO Reno10 5G (Silvery Grey, 256 GB)  (8 GB RAM)","₹34,999",35% off,"₹22,499",3.5
"(Refurbished) OPPO Find N3 Flip (Cream Gold, 256 GB)  (12 GB RAM)","₹99,999",34% off,"₹65,999",3.5
"OPPO Find N3 Flip (Cream Gold, 256 GB)  (12 GB RAM)","₹99,999",25% off,"₹74,999",4.3
"OPPO A78 5G (Glowing Black, 128 GB)  (8 GB RAM)","₹21,999",18% off,"₹17,999",4.3
"OPPO A3x (Ocean Blue, 64 GB)  (4 GB RAM)","₹12,999",30% off,"₹8,999",3.9
"OPPO Find N2 Flip (Moonlit Purple, 256 GB)  (8 GB RAM)","₹99,999",10% off,"₹89,999",4.1
"OPPO A58 (Glowing Black, 128 GB)  (6 GB RAM)","₹15,499",16% off,"₹12,999",4.3
OPPO A18  (GLOWING BLUE),"₹14,999",36% off,"₹9,490",4.3
"OPPO F21s Pro (Starlight Black, 128 GB)  (8 GB RAM)",N/A,N/A,"₹27,999",4.2
"OPPO A55 (Mint Green, 128 GB)  (4 GB RAM)",N/A,N/A,"₹18,990",4.3
"OPPO F21 Pro (Cosmic Black, 128 GB)  (8 GB RAM)","₹27,999",36% off,"₹17,880",4.3
"OPPO Reno11 5G (Wave Green, 256 GB)  (8 GB RAM)","₹40,999",26% off,"₹29,999",4.3
"OPPO Reno10 5G (Ice Blue, 256 GB)  (8 GB RAM)","₹38,999",39% off,"₹23,749",4.3
"OPPO F23 5G (Bold Gold, 256 GB)  (8 GB RAM)","₹28,999",20% off,"₹22,999",4.2
