Product name,Original Price,Discount,Price After Discount,Ratings
"POCO M6 5G (Orion Blue, 64 GB)  (4 GB RAM)","₹11,999",33% off,"₹7,999",4.2
"POCO C65 (Matte Black, 128 GB)  (4 GB RAM)","₹10,999",36% off,"₹6,999",4.3
"POCO M6 5G (Polaris Green, 64 GB)  (4 GB RAM)","₹11,999",33% off,"₹7,999",4.2
"POCO C61 (Ethereal Blue, 64 GB)  (4 GB RAM)","₹8,999",30% off,"₹6,299",4.1
"POCO M6 5G (Galactic Black, 64 GB)  (4 GB RAM)",N/A,33% off,N/A,4.2
"POCO C61 (Mystical Green, 64 GB)  (4 GB RAM)","₹8,999",30% off,"₹6,299",4.1
"POCO C65 (Matte Black, 128 GB)  (6 GB RAM)","₹11,999",33% off,"₹7,999",4.2
"POCO M6 5G (Orion Blue, 128 GB)  (6 GB RAM)",N/A,30% off,N/A,4.3
"POCO C61 (Diamond Dust Black, 64 GB)  (4 GB RAM)",N/A,30% off,N/A,4.1
"POCO C65 (Pastel Blue, 128 GB)  (4 GB RAM)",N/A,36% off,N/A,4.3
"POCO C65 (Pastel Green, 128 GB)  (4 GB RAM)","₹10,999",36% off,"₹6,999",4.3
"POCO M6 5G (Galactic Black, 128 GB)  (6 GB RAM)",N/A,30% off,N/A,4.3
"POCO M6 5G (Polaris Green, 128 GB)  (6 GB RAM)","₹13,999",30% off,"₹9,749",4.3
"POCO M6 Plus 5G (Ice Silver, 128 GB)  (6 GB RAM)","₹15,999",28% off,"₹11,499",4.2
"POCO X6 Neo 5G (Astral Black, 128 GB)  (8 GB RAM)","₹19,999",32% off,"₹13,499",4.2
"POCO M6 5G (Polaris Green, 128 GB)  (4 GB RAM)",N/A,28% off,N/A,4.2
"POCO M6 5G - Locked with Airtel Prepaid (Polaris Green, 128 GB)  (4 GB RAM)","₹12,999",34% off,"₹8,499",4.2
"POCO X6 Neo 5G (Martian Orange, 128 GB)  (8 GB RAM)","₹19,999",32% off,"₹13,499",4.2
"POCO X6 Neo 5G (Horizon Blue, 128 GB)  (8 GB RAM)","₹19,999",32% off,"₹13,499",4.2
"POCO M6 Plus 5G (Misty Lavender, 128 GB)  (6 GB RAM)","₹15,999",28% off,"₹11,499",4.2
"POCO M6 Plus 5G (Graphite Black, 128 GB)  (8 GB RAM)",N/A,30% off,N/A,4.2
"POCO M6 5G - Locked with Airtel Prepaid (Galactic Black, 128 GB)  (4 GB RAM)",N/A,34% off,N/A,4.2
"POCO M6 Plus 5G (Graphite Black, 128 GB)  (6 GB RAM)","₹15,999",28% off,"₹11,499",4.2
"POCO X6 5G (Snowstorm White, 512 GB)  (12 GB RAM)","₹27,999",28% off,"₹19,999",4.3
"POCO M6 5G (Orion Blue, 64 GB)  (4 GB RAM)",N/A,33% off,N/A,4.2
"POCO C65 (Matte Black, 128 GB)  (4 GB RAM)","₹10,999",36% off,"₹6,999",4.3
"POCO C61 (Ethereal Blue, 64 GB)  (4 GB RAM)","₹8,999",30% off,"₹6,299",4.1
"POCO M6 5G (Polaris Green, 64 GB)  (4 GB RAM)","₹11,999",33% off,"₹7,999",4.2
"POCO C61 (Mystical Green, 64 GB)  (4 GB RAM)","₹8,999",30% off,"₹6,299",4.1
"POCO M6 5G (Galactic Black, 64 GB)  (4 GB RAM)",N/A,33% off,N/A,4.2
"POCO C65 (Matte Black, 128 GB)  (6 GB RAM)","₹11,999",33% off,"₹7,999",4.2
"POCO M6 5G (Orion Blue, 128 GB)  (6 GB RAM)",N/A,30% off,N/A,4.3
"POCO C61 (Diamond Dust Black, 64 GB)  (4 GB RAM)",N/A,30% off,N/A,4.1
"POCO C65 (Pastel Blue, 128 GB)  (4 GB RAM)",N/A,36% off,N/A,4.3
"POCO C65 (Pastel Green, 128 GB)  (4 GB RAM)","₹10,999",36% off,"₹6,999",4.3
