Brand,Shirt Name,Original Price,Discount,Price After Discount,Ratings
BLUE MARTIN,Men Regular Fit Checkered Spread Collar Casual Shirt  (Pack of 2),₹999,57% off,₹999,3.7
BLUE MARTIN,Men Regular Fit Checkered Spread Collar Casual Shirt  (Pack of 2),₹999,57% off,₹999,3.7
KETCH,Men Slim Fit Checkered Casual Shirt,₹999,66% off,₹999,3.7
METRONAUT,Men Regular Fit Solid Spread Collar Casual Shirt,"₹1,999",85% off,"₹1,999",3.8
SHIRTZONE,Men Regular Fit Solid Mandarin Collar Casual Shirt,"₹1,499",76% off,"₹1,499",3.7
SOLSTICE,Men Regular Fit Solid Spread Collar Casual Shirt,₹999,67% off,₹999,3.9
CAMPUS SUTRA,Men Regular Fit Checkered Spread Collar Casual Shirt,"₹1,599",65% off,"₹1,599",4
Allen Solly,Men Slim Fit Self Design Spread Collar Casual Shirt,"₹1,499",60% off,"₹1,499",4.1
HIGHLANDER,Men Slim Fit Solid Spread Collar Casual Shirt,"₹1,399",60% off,"₹1,399",4.1
VeBNoR,Men Regular Fit Solid Spread Collar Casual Shirt,₹999,72% off,₹999,4
SHIRTZONE,Men Regular Fit Solid Casual Shirt,"₹1,499",76% off,"₹1,499",3.7
MILDIN,Men Regular Fit Solid Spread Collar Casual Shirt,"₹1,999",85% off,"₹1,999",3.9
THE BEAR HOUSE,Men Slim Fit Checkered Button Down Collar Casual Shirt,"₹2,495",74% off,"₹2,495",4.3
Dennis Lingo,Men Slim Fit Checkered Spread Collar Casual Shirt,"₹2,499",80% off,"₹2,499",4.1
HIGHLANDER,Men Slim Fit Checkered Spread Collar Casual Shirt,"₹2,049",78% off,"₹2,049",3.9
METRONAUT,Men Regular Fit Solid Button Down Collar Casual Shirt,"₹1,999",86% off,"₹1,999",3.8
STONEBERG,Men Slim Fit Solid Spread Collar Formal Shirt,"₹1,599",78% off,"₹1,599",3.9
youth first,Men Regular Fit Striped Spread Collar Casual Shirt,₹999,75% off,₹999,3.7
VeBNoR,Men Regular Fit Printed Spread Collar Casual Shirt,₹999,78% off,₹999,3.9
HIGHLANDER,Men Slim Fit Printed Mandarin Collar Casual Shirt,"₹1,149",52% off,"₹1,149",4.1
BLUE MARTIN,Men Regular Fit Checkered Spread Collar Casual Shirt  (Pack of 2),₹999,57% off,₹999,3.7
STONEBERG,Men Slim Fit Solid Spread Collar Formal Shirt,"₹1,599",81% off,"₹1,599",3.9
CAMPUS SUTRA,Men Regular Fit Self Design Spread Collar Casual Shirt,"₹1,899",69% off,"₹1,899",4
METRONAUT,Men Regular Fit Solid Button Down Collar Casual Shirt,"₹1,999",85% off,"₹1,999",3.8
Allen Solly,Men Slim Fit Printed Cut Away Collar Casual Shirt,"₹1,499",52% off,"₹1,499",4.2
VeBNoR,Men Regular Fit Solid Spread Collar Casual Shirt,₹999,72% off,₹999,4
youth first,Men Regular Fit Striped Spread Collar Casual Shirt,₹999,75% off,₹999,3.7
Voroxy,Men Regular Fit Self Design Lapel Collar Casual Shirt,"₹1,999",81% off,"₹1,999",4.1
METRONAUT,Men Regular Fit Solid Spread Collar Casual Shirt,"₹1,999",85% off,"₹1,999",3.8
The Indian Garage Co.,Men Regular Fit Checkered Casual Shirt,"₹2,199",75% off,"₹2,199",4.1
STONEBERG,Men Slim Fit Solid Spread Collar Formal Shirt,"₹1,599",81% off,"₹1,599",3.9
