Brand,Shirt Name,Original Price,Discount,Price After Discount,Ratings
KAJARU,"Pack of 2 Men Printed Round Neck Polyester Pink, Dark Green T-Shirt","₹1,899",84% off,₹299,3.8
TRIPR,Men Colorblock V Neck Cotton Blend Multicolor T-Shirt,"₹1,999",88% off,₹239,4
sti,"Men Printed Round Neck Polyester White, Black T-Shirt",₹999,85% off,₹149,3.9
BEING WANTED,Men Solid Round Neck Pure Cotton White T-Shirt,₹999,79% off,₹201,3.9
TRIPR,Men Colorblock V Neck Cotton Blend Green T-Shirt,"₹1,999",88% off,₹239,4
AUSK,Men Self Design Round Neck Polyester Dark Blue T-Shirt,"₹1,499",82% off,₹269,3.7
Allen Solly,Men Solid Polo Neck Cotton Blend Black T-Shirt,"₹1,099",52% off,₹522,4.3
sti,"Men Printed Round Neck Polyester Black, Yellow T-Shirt",₹999,85% off,₹149,3.9
HIGHLANDER,Men Solid Round Neck Pure Cotton Black T-Shirt,₹749,60% off,₹299,4
Allen Solly,Men Solid Polo Neck Pure Cotton Green T-Shirt,"₹1,099",57% off,₹470,4.3
AUSK,"Men Colorblock Polo Neck Cotton Blend Red, Black, White T-Shirt","₹1,499",80% off,₹299,3.8
TRIPR,Men Colorblock V Neck Cotton Blend Navy Blue T-Shirt,"₹1,999",88% off,₹229,4
DyrectDeals,Men Colorblock Polo Neck Poly Cotton Green T-Shirt,"₹1,299",78% off,₹279,4
Allen Solly,Men Solid Polo Neck Cotton Blend White T-Shirt,"₹1,099",60% off,₹439,4.3
LEVI'S,Men Printed Polo Neck Pure Cotton Green T-Shirt,"₹1,699",58% off,₹699,4.2
FTX,"Pack of 4 Men Solid Round Neck Polyester Silver, Blue, Black, Grey T-Shirt","₹1,499",74% off,₹379,4
ADIDAS,Men Printed Round Neck Pure Cotton Black T-Shirt,"₹1,299",50% off,₹649,3.8
FTX,Pack of 4 Men Solid Round Neck Polyester Multicolor T-Shirt,"₹1,499",74% off,₹379,4
3BROS,Men Solid Polo Neck Cotton Blend Blue T-Shirt,₹999,71% off,₹289,4.1
BEING HUMAN,Men Printed Round Neck Cotton Blend Green T-Shirt,"₹1,299",75% off,₹324,3.9
AUSK,Men Graphic Print Round Neck Cotton Blend Grey T-Shirt,"₹1,499",84% off,₹239,3.7
AUSK,Men Solid Mandarin Collar Cotton Blend Yellow T-Shirt,"₹1,499",84% off,₹239,3.9
Veirdo,"Oversized Men Printed, Typography Round Neck Pure Cotton Navy Blue T-Shirt","₹1,199",72% off,₹329,4.1
sti,Men Printed Round Neck Polyester Multicolor T-Shirt,₹999,85% off,₹149,3.9
METRONAUT By Flipkart,Striped Men Polo Neck Poly Cotton Black T-Shirt,"₹1,999",86% off,₹269,3.8
VeBNoR,"Pack of 4 Men Solid Round Neck Polyester Black, Maroon, Grey, Dark Green T-Shirt",₹999,62% off,₹379,4
Stelino,Pack of 2 Men Printed Round Neck Pure Cotton Multicolor T-Shirt,"₹1,199",68% off,₹373,3.7
AUSK,Men Solid Mandarin Collar Cotton Blend Yellow T-Shirt,"₹1,499",82% off,₹269,3.8
3BROS,Men Solid Polo Neck Cotton Blend Brown T-Shirt,₹999,70% off,₹299,4.1
Louis Philippe Jeans,Men Self Design Crew Neck Pure Cotton Blue T-Shirt,"₹1,299",50% off,₹649,4.2
Red Tape,Men Solid Round Neck Polyester Black T-Shirt,"₹2,599",80% off,₹519,4.4
TRIPR,Men Colorblock V Neck Cotton Blend Green T-Shirt,"₹1,999",88% off,₹229,4
LEVI'S,"Short Sleeves, Tag Free Comfort & Smartskin Technology Style# 025 Cotton Men Solid Round Neck Pure Cotton Black T-Shirt",₹649,44% off,₹357,4.2
EyeBogler,"Men Striped Polo Neck Cotton Blend White, Blue, Yellow T-Shirt","₹1,299",80% off,₹249,4
sti,Men Printed Round Neck Polyester Multicolor T-Shirt,₹999,85% off,₹149,3.9
HIGHLANDER,Men Printed Round Neck Pure Cotton Black T-Shirt,₹649,56% off,₹281,4.2
AUSK,"Men Striped Polo Neck Cotton Blend White, Blue T-Shirt","₹1,499",84% off,₹239,3.8
ADIDAS,Men Solid Polo Neck Cotton Blend Blue T-Shirt,"₹1,499",13% off,"₹1,299",4
Allen Solly,Men Colorblock Polo Neck Cotton Blend Black T-Shirt,"₹1,199",57% off,₹513,4.3
Allen Solly,Men Solid Polo Neck Pure Cotton Grey T-Shirt,"₹1,049",52% off,₹498,4.1
KAJARU,"Pack of 2 Men Printed Round Neck Polyester Pink, Dark Green T-Shirt","₹1,899",84% off,₹299,3.8
TRIPR,Men Colorblock V Neck Cotton Blend Multicolor T-Shirt,"₹1,999",88% off,₹239,4
sti,"Men Printed Round Neck Polyester White, Black T-Shirt",₹999,85% off,₹149,3.9
sti,"Men Printed Round Neck Polyester Black, Yellow T-Shirt",₹999,85% off,₹149,3.9
TRIPR,Men Colorblock V Neck Cotton Blend Green T-Shirt,"₹1,999",88% off,₹239,4
AUSK,"Men Colorblock Polo Neck Cotton Blend Red, Black, White T-Shirt","₹1,499",80% off,₹299,3.8
Veirdo,"Oversized Men Printed, Typography Round Neck Pure Cotton Navy Blue T-Shirt","₹1,199",72% off,₹329,4.1
DyrectDeals,Men Colorblock Polo Neck Poly Cotton Green T-Shirt,"₹1,299",78% off,₹279,4
Allen Solly,Men Solid Polo Neck Pure Cotton Green T-Shirt,"₹1,099",57% off,₹470,4.3
Allen Solly,Men Solid Polo Neck Cotton Blend White T-Shirt,"₹1,099",60% off,₹439,4.3
AUSK,"Men Striped Polo Neck Cotton Blend White, Maroon T-Shirt","₹1,499",84% off,₹239,3.8
AUSK,Men Solid Mandarin Collar Cotton Blend Blue T-Shirt,"₹1,499",84% off,₹239,3.9
FTX,"Pack of 4 Men Solid Round Neck Polyester Silver, Blue, Black, Grey T-Shirt","₹1,499",74% off,₹379,4
3BROS,Men Solid Polo Neck Cotton Blend Blue T-Shirt,₹999,71% off,₹289,4.1
sti,Men Printed Round Neck Polyester Multicolor T-Shirt,₹999,85% off,₹149,3.9
METRONAUT By Flipkart,Striped Men Polo Neck Poly Cotton Black T-Shirt,"₹1,999",86% off,₹269,3.8
TRIPR,Men Colorblock V Neck Cotton Blend Navy Blue T-Shirt,"₹1,999",88% off,₹239,4
