Product name,Original Price,Discount,Price After Discount,Ratings
"vivo V30 Pro 5G (Andaman Blue, 512 GB)  (12 GB RAM)","₹51,999",15% off,"₹43,999",4.5
"vivo T3x 5G (Celestial Green, 128 GB)  (4 GB RAM)","₹17,499",25% off,"₹12,999",4.5
"vivo T3x 5G (Crimson Bliss, 128 GB)  (6 GB RAM)","₹18,999",23% off,"₹14,499",4.5
"vivo T3 Lite 5G (Majestic Black, 128 GB)  (6 GB RAM)","₹15,499",25% off,"₹11,499",4.4
"vivo T3 Lite 5G (Vibrant Green, 128 GB)  (6 GB RAM)","₹15,499",25% off,"₹11,499",4.4
"vivo T3 Lite 5G (Majestic Black, 128 GB)  (4 GB RAM)","₹14,499",27% off,"₹10,499",4.4
"vivo T3 Lite 5G (Vibrant Green, 128 GB)  (4 GB RAM)","₹14,499",27% off,"₹10,499",4.2
"vivo T3x 5G (Crimson Bliss, 128 GB)  (4 GB RAM)","₹17,499",25% off,"₹12,999",4.5
"vivo T3x 5G (Celestial Green, 128 GB)  (6 GB RAM)","₹18,999",23% off,"₹14,499",4.5
"vivo T3x 5G (Sapphire Blue, 128 GB)  (4 GB RAM)","₹17,499",25% off,"₹12,999",4.5
"vivo T3x 5G (Sapphire Blue, 128 GB)  (6 GB RAM)","₹18,999",23% off,"₹14,499",4.5
"vivo T3x 5G (Celestial Green, 128 GB)  (8 GB RAM)","₹20,499",21% off,"₹15,999",4.4
"vivo T3x 5G (Sapphire Blue, 128 GB)  (8 GB RAM)","₹20,499",21% off,"₹15,999",4.4
"vivo T3x 5G (Crimson Bliss, 128 GB)  (8 GB RAM)","₹20,499",21% off,"₹15,999",4.4
"vivo T3 5G (Crystal Flake, 128 GB)  (8 GB RAM)","₹22,999",19% off,"₹18,499",4.4
"vivo T3 5G (Cosmic Blue, 256 GB)  (8 GB RAM)","₹24,999",18% off,"₹20,499",4.4
"vivo T3 5G (Cosmic Blue, 128 GB)  (8 GB RAM)","₹22,999",19% off,"₹18,499",4.4
"vivo T3 5G (Crystal Flake, 256 GB)  (8 GB RAM)","₹24,999",18% off,"₹20,499",4.4
"vivo T3 Pro 5G (Sandstone Orange, 256 GB)  (8 GB RAM)","₹31,999",15% off,"₹26,999",4.5
"vivo T3 Pro 5G (Emerald Green, 256 GB)  (8 GB RAM)","₹31,999",15% off,"₹26,999",4.5
"vivo T3 Pro 5G (Emerald Green, 128 GB)  (8 GB RAM)","₹29,999",16% off,"₹24,999",4.5
"vivo T3 Pro 5G (Sandstone Orange, 128 GB)  (8 GB RAM)","₹29,999",16% off,"₹24,999",4.5
"vivo T3 Ultra (Frost Green, 256 GB)  (8 GB RAM)","₹37,999",10% off,"₹33,999",4.5
"vivo T3 Ultra (Lunar Gray, 256 GB)  (8 GB RAM)","₹37,999",10% off,"₹33,999",4.5
"vivo T3 Ultra (Frost Green, 128 GB)  (8 GB RAM)","₹35,999",11% off,"₹31,999",4.5
"vivo T3 Ultra (Lunar Gray, 256 GB)  (12 GB RAM)","₹39,999",10% off,"₹35,999",4.5
"vivo V30 Pro 5G (Andaman Blue, 512 GB)  (12 GB RAM)","₹51,999",15% off,"₹43,999",4.5
"vivo T3 Ultra (Frost Green, 256 GB)  (12 GB RAM)","₹39,999",10% off,"₹35,999",4.5
"vivo Y18i (Space Black, 64 GB)  (4 GB RAM)","₹11,999",30% off,"₹8,389",3.9
"vivo Y18i (Gem Green, 64 GB)  (4 GB RAM)","₹11,999",33% off,"₹7,983",3.9
"vivo V40e 5G (Royal Bronze, 256 GB)  (8 GB RAM)","₹35,999",13% off,"₹30,999",4.4
"vivo V40e 5G (Royal Bronze, 128 GB)  (8 GB RAM)","₹33,999",14% off,"₹28,999",4.4
"vivo V40e 5G (Mint Green, 256 GB)  (8 GB RAM)","₹35,999",13% off,"₹30,999",4.4
"vivo V40e 5G (Mint Green, 128 GB)  (8 GB RAM)","₹33,999",14% off,"₹28,999",4.4
"vivo Y18 (Space Black, 64 GB)  (4 GB RAM)","₹12,999",34% off,"₹8,499",4.1
"vivo Y18 (Gem Green, 128 GB)  (4 GB RAM)","₹13,999",32% off,"₹9,499",4.1
"vivo Y18 (Gem Green, 64 GB)  (4 GB RAM)","₹12,999",34% off,"₹8,499",4.1
"vivo Y18 (Space Black, 128 GB)  (4 GB RAM)","₹13,999",32% off,"₹9,499",4.1
"vivo V30e (Velvet Red, 128 GB)  (8 GB RAM)","₹32,999",21% off,"₹25,999",4.4
"vivo V30e (Silk Blue, 128 GB)  (8 GB RAM)","₹32,999",21% off,"₹25,999",4.4
"vivo V30e (Silk Blue, 256 GB)  (8 GB RAM)","₹34,999",16% off,"₹29,249",4.4
"vivo T2 Pro 5G (New Moon Black, 256 GB)  (8 GB RAM)","₹27,999",14% off,"₹23,999",4.5
"vivo T2 Pro 5G (Dune Gold, 256 GB)  (8 GB RAM)","₹27,999",14% off,"₹23,999",4.5
"vivo V40 5G (Titanium Grey, 256 GB)  (8 GB RAM)","₹42,999",13% off,"₹36,999",4.5
"vivo V40 5G (Titanium Grey, 128 GB)  (8 GB RAM)","₹39,999",12% off,"₹34,999",4.5
"vivo V30e (Velvet Red, 256 GB)  (8 GB RAM)","₹34,999",20% off,"₹27,999",4.4
"vivo T2 Pro 5G (Dune Gold, 128 GB)  (8 GB RAM)","₹26,999",14% off,"₹22,999",4.5
"vivo V40 5G (Ganges Blue, 128 GB)  (8 GB RAM)","₹39,999",12% off,"₹34,999",4.5
"vivo V40 5G (Ganges Blue, 128 GB)  (8 GB RAM)","₹39,999",12% off,"₹34,999",4.5
"vivo V40 5G (Lotus Purple, 512 GB)  (12 GB RAM)","₹48,999",14% off,"₹41,999",4.6
"vivo V30 Pro 5G (Andaman Blue, 512 GB)  (12 GB RAM)","₹51,999",15% off,"₹43,999",4.5
"vivo V40 5G (Lotus Purple, 256 GB)  (8 GB RAM)","₹42,999",13% off,"₹36,999",4.5
"vivo V40 5G (Lotus Purple, 128 GB)  (8 GB RAM)","₹39,999",12% off,"₹34,999",4.5
"vivo V40 5G (Ganges Blue, 512 GB)  (12 GB RAM)","₹48,999",14% off,"₹41,999",4.6
"vivo Y36 (Meteor Black, 128 GB)  (8 GB RAM)","₹21,999",31% off,"₹14,999",4.3
